station,site,date,chla_surf,diss_o_surf,ph_surf,salinity_surf,turbidity_surf,temp_surf,suspended_solids_surf,nitrates_surf,depth_bott,chla_bott,diss_o_bott,ph_bott,salinity_bott,turbidity_bott,temp_bott,suspended_solids_bott,nitrates_bott,latitude,longitude,depth_m,temp_delta
EM1,Eastern Buffer,1986-04-11,2.0,4.9,8.1,33.8,1.9,19.1,1.5,0.21,Bottom Water,0.8,5.7,8.2,34.0,9.0,19.6,31.0,0.13,22.2751,114.2555833,16,0.5
EM1,Eastern Buffer,1986-05-12,1.3,4.8,8.0,30.6,3.3,24.5,4.0,0.32,Bottom Water,0.6,6.0,8.1,33.5,1.2,24.6,1.5,0.14,22.2751,114.2555833,16,0.10000000000000142
EM1,Eastern Buffer,1986-07-07,14.0,4.6,8.1,23.9,3.1,26.5,3.5,0.5,Bottom Water,6.3,4.2,8.0,30.8,2.4,22.6,1.5,0.15,22.2751,114.2555833,16,-3.8999999999999986
EM1,Eastern Buffer,1986-08-04,6.6,8.1,8.3,30.3,3.4,26.4,2.5,0.05,Bottom Water,22.0,5.1,8.2,31.3,4.1,25.2,5.5,0.27,22.2751,114.2555833,16,-1.1999999999999993
EM1,Eastern Buffer,1986-09-01,10.0,3.4,7.9,30.8,3.4,29.5,1.0,0.35,Bottom Water,1.5,3.2,7.9,32.5,5.1,28.5,4.5,0.24,22.2751,114.2555833,16,-1.0
EM1,Eastern Buffer,1986-10-10,2.1,2.9,8.1,32.8,5.3,27.1,6.0,0.46,Bottom Water,1.0,4.0,8.2,33.0,10.0,26.9,11.0,0.37,22.2751,114.2555833,16,-0.20000000000000284
EM1,Eastern Buffer,1986-11-10,1.7,5.8,8.2,33.5,3.8,23.5,3.0,0.2,Bottom Water,1.7,5.7,8.2,33.4,5.2,23.4,3.5,0.18,22.2751,114.2555833,16,-0.10000000000000142
EM1,Eastern Buffer,1986-12-08,1.3,6.2,8.1,31.8,3.0,19.2,3.0,0.22,Bottom Water,1.0,6.2,8.1,31.7,3.8,19.2,3.0,0.21,22.2751,114.2555833,16,0.0
EM1,Eastern Buffer,1987-01-09,6.7,5.6,8.0,31.3,2.2,18.2,2.5,0.33,Bottom Water,1.9,6.0,8.0,30.6,3.7,18.0,1.5,0.27,22.2751,114.2555833,16,-0.1999999999999993
EM1,Eastern Buffer,1987-02-09,1.0,6.8,8.1,32.2,1.8,17.2,1.0,0.26,Bottom Water,1.0,7.1,8.2,32.2,1.9,17.1,1.5,0.12,22.2751,114.2555833,16,-0.09999999999999787
EM1,Eastern Buffer,1987-03-09,0.2,5.3,7.8,32.8,1.3,19.6,5.0,0.39,Bottom Water,0.4,5.7,7.9,33.8,6.9,19.2,5.5,0.18,22.2751,114.2555833,16,-0.40000000000000213
EM1,Eastern Buffer,1987-04-02,0.2,5.5,8.0,32.4,5.8,20.4,31.0,0.43,Bottom Water,0.2,6.1,8.0,32.5,7.9,20.3,9.5,0.29,22.2751,114.2555833,16,-0.09999999999999787
EM1,Eastern Buffer,1987-05-08,0.4,4.8,7.9,32.5,1.8,22.8,3.5,0.26,Bottom Water,0.4,5.2,7.9,32.9,3.4,22.6,4.5,0.12,22.2751,114.2555833,16,-0.1999999999999993
EM1,Eastern Buffer,1987-06-08,27.0,5.8,8.2,27.2,2.4,25.4,9.0,0.21,Bottom Water,2.7,4.1,8.0,33.2,2.7,23.8,4.5,0.14,22.2751,114.2555833,16,-1.5999999999999979
EM1,Eastern Buffer,1987-07-10,30.0,3.5,8.3,26.7,4.7,26.7,5.5,0.27,Bottom Water,4.0,2.2,7.9,32.1,15.0,24.0,13.0,0.29,22.2751,114.2555833,16,-2.6999999999999993
EM1,Eastern Buffer,1987-08-07,17.0,5.1,8.2,29.4,6.0,24.3,9.5,0.15,Bottom Water,1.9,3.6,8.0,34.1,11.0,21.7,14.0,0.12,22.2751,114.2555833,16,-2.6000000000000014
EM1,Eastern Buffer,1987-09-07,6.1,4.1,8.2,31.3,17.0,25.6,11.0,0.19,Bottom Water,7.1,4.0,8.2,31.4,12.0,25.4,12.0,0.19,22.2751,114.2555833,16,-0.20000000000000284
EM1,Eastern Buffer,1987-10-09,6.9,4.8,7.8,32.4,8.5,27.5,2.5,0.34,Bottom Water,5.3,4.6,7.7,32.6,8.2,27.4,9.0,0.36,22.2751,114.2555833,16,-0.10000000000000142
EM1,Eastern Buffer,1987-11-05,1.5,5.0,8.1,33.4,9.5,24.7,5.5,0.23,Bottom Water,1.0,5.2,8.1,33.4,10.0,24.7,7.5,0.26,22.2751,114.2555833,16,0.0
EM1,Eastern Buffer,1987-12-07,1.7,6.2,8.2,33.0,4.1,18.0,3.0,0.1,Bottom Water,1.5,6.5,8.2,33.0,6.1,17.8,7.0,0.11,22.2751,114.2555833,16,-0.1999999999999993
EM1,Eastern Buffer,1988-01-07,2.1,6.5,8.1,31.4,3.9,18.0,5.0,0.31,Bottom Water,1.7,6.8,8.2,31.6,3.1,17.7,6.5,0.22,22.2751,114.2555833,16,-0.3000000000000007
EM1,Eastern Buffer,1988-02-08,2.3,6.7,8.1,32.9,4.6,17.6,3.5,0.15,Bottom Water,1.3,6.8,8.0,32.9,3.8,17.6,4.5,0.15,22.2751,114.2555833,16,0.0
EM1,Eastern Buffer,1988-03-07,1.5,5.6,8.0,31.9,3.1,15.0,7.5,0.24,Bottom Water,1.0,5.8,8.0,32.1,2.3,14.9,19.0,0.2,22.2751,114.2555833,16,-0.09999999999999964
EM1,Eastern Buffer,1988-04-11,2.7,7.8,8.3,32.9,6.2,16.9,2.0,0.03,Bottom Water,1.9,7.6,8.3,32.8,10.1,16.9,4.0,0.04,22.2751,114.2555833,16,0.0
EM1,Eastern Buffer,1988-05-12,5.0,5.3,8.1,32.2,4.0,24.8,1.0,0.27,Bottom Water,2.3,5.3,8.1,33.8,3.3,23.0,4.0,0.13,22.2751,114.2555833,16,-1.8000000000000007
EM1,Eastern Buffer,1988-06-06,10.0,5.8,8.1,33.4,4.2,26.6,1.0,0.1,Bottom Water,8.4,5.4,8.1,33.8,6.6,25.8,4.0,0.09,22.2751,114.2555833,16,-0.8000000000000007
EM1,Eastern Buffer,1988-07-08,37.0,5.8,8.3,29.0,4.5,25.8,7.0,0.08,Bottom Water,1.9,4.8,8.1,33.5,5.9,23.3,6.0,0.1,22.2751,114.2555833,16,-2.5
EM1,Eastern Buffer,1988-08-12,6.3,6.1,8.4,31.0,2.3,26.8,2.0,0.06,Bottom Water,3.4,3.6,8.2,33.1,4.8,23.8,4.0,0.24,22.2751,114.2555833,16,-3.0
EM1,Eastern Buffer,1988-09-13,12.0,7.3,8.5,30.3,1.5,26.0,5.0,0.05,Bottom Water,4.6,3.9,8.4,33.0,5.0,23.5,7.0,0.08,22.2751,114.2555833,16,-2.5
EM1,Eastern Buffer,1988-10-07,2.3,4.7,8.3,31.9,3.3,24.9,1.5,0.19,Bottom Water,1.5,4.9,8.4,31.9,6.3,24.7,6.0,0.21,22.2751,114.2555833,16,-0.1999999999999993
EM1,Eastern Buffer,1988-11-18,0.2,3.6,8.0,31.1,3.2,21.4,2.5,0.58,Bottom Water,0.6,3.8,8.0,31.2,3.8,21.4,2.0,0.56,22.2751,114.2555833,16,0.0
EM1,Eastern Buffer,1988-12-12,1.0,5.9,8.3,31.0,4.0,19.2,4.0,0.29,Bottom Water,1.0,6.4,8.3,31.1,14.7,19.0,12.0,0.23,22.2751,114.2555833,16,-0.1999999999999993
EM1,Eastern Buffer,1989-01-09,0.6,6.2,8.3,31.7,5.9,17.5,4.5,0.24,Bottom Water,0.4,6.7,8.4,31.7,7.8,17.3,5.0,0.2,22.2751,114.2555833,16,-0.1999999999999993
EM1,Eastern Buffer,1989-02-13,3.6,7.4,8.3,31.9,3.8,15.0,4.0,0.18,Bottom Water,4.0,7.6,8.3,31.9,4.0,14.9,3.0,0.19,22.2751,114.2555833,16,-0.09999999999999964
EM1,Eastern Buffer,1989-03-10,1.6,7.1,8.3,33.1,2.7,15.8,4.0,0.15,Bottom Water,0.9,7.6,8.3,33.4,2.8,15.9,4.5,0.11,22.2751,114.2555833,16,0.09999999999999964
EM1,Eastern Buffer,1989-04-10,0.7,5.3,8.2,33.0,5.1,18.4,2.0,0.23,Bottom Water,0.5,6.1,8.1,33.3,6.6,18.2,1.5,0.18,22.2751,114.2555833,16,-0.1999999999999993
EM1,Eastern Buffer,1989-05-08,1.9,4.5,8.2,32.3,9.5,22.7,1.0,0.25,Bottom Water,1.7,4.5,8.2,32.3,11.5,22.7,4.5,0.26,22.2751,114.2555833,16,0.0
EM1,Eastern Buffer,1989-06-06,1.1,4.7,8.2,32.9,7.2,23.2,2.0,0.33,Bottom Water,1.1,4.8,8.2,33.3,6.8,22.9,8.0,0.31,22.2751,114.2555833,16,-0.3000000000000007
EM1,Eastern Buffer,1989-07-10,11.0,6.8,8.8,28.8,4.0,26.8,0.5,0.03,Bottom Water,17.0,5.2,8.8,31.5,4.4,24.6,6.5,0.05,22.2751,114.2555833,16,-2.1999999999999993
EM1,Eastern Buffer,1989-08-07,17.0,4.6,8.6,32.5,5.0,25.0,2.0,0.23,Bottom Water,3.2,3.9,8.6,33.8,8.5,22.8,6.0,0.22,22.2751,114.2555833,16,-2.1999999999999993
EM1,Eastern Buffer,1989-09-08,1.5,6.6,8.8,30.3,2.1,28.7,3.5,0.09,Bottom Water,1.0,5.6,8.6,30.4,11.0,28.1,4.5,0.12,22.2751,114.2555833,16,-0.5999999999999979
EM1,Eastern Buffer,1989-10-10,1.2,5.5,8.5,32.5,4.9,26.6,5.0,0.14,Bottom Water,0.4,5.4,8.5,32.5,6.3,26.5,9.0,0.14,22.2751,114.2555833,16,-0.10000000000000142
EM1,Eastern Buffer,1989-11-06,3.1,4.3,8.3,32.2,2.6,24.9,2.0,0.36,Bottom Water,2.1,5.1,8.4,33.3,4.9,24.8,4.5,0.21,22.2751,114.2555833,16,-0.09999999999999787
EM1,Eastern Buffer,1989-12-08,6.7,3.5,8.2,31.3,4.0,20.4,3.0,0.45,Bottom Water,7.2,3.3,8.2,31.4,4.3,20.3,0.5,0.44,22.2751,114.2555833,16,-0.09999999999999787
EM1,Eastern Buffer,1990-01-05,7.0,6.2,8.2,31.5,4.5,17.9,2.5,0.22,Bottom Water,0.6,5.9,8.2,31.6,3.8,17.9,4.0,0.21,22.2751,114.2555833,16,0.0
EM1,Eastern Buffer,1990-02-05,4.9,6.3,8.4,30.4,4.0,15.8,2.0,0.61,Bottom Water,0.2,6.5,8.5,31.2,2.3,15.5,1.0,0.18,22.2751,114.2555833,16,-0.3000000000000007
EM1,Eastern Buffer,1990-03-05,0.2,7.0,8.5,30.9,2.4,16.0,1.0,0.27,Bottom Water,0.2,6.3,8.6,31.4,2.8,15.8,3.0,0.24,22.2751,114.2555833,16,-0.1999999999999993
EM1,Eastern Buffer,1990-04-02,0.8,5.0,8.2,31.8,3.1,18.6,2.0,0.4,Bottom Water,0.8,5.6,8.2,31.8,3.7,17.1,27.0,0.15,22.2751,114.2555833,16,-1.5
EM1,Eastern Buffer,1990-05-07,12.0,6.5,8.6,32.2,3.5,21.7,6.5,0.24,Bottom Water,10.0,5.9,8.7,32.3,4.5,21.6,9.5,0.23,22.2751,114.2555833,16,-0.09999999999999787
EM1,Eastern Buffer,1990-06-04,2.1,4.4,8.2,32.2,4.5,25.0,4.0,0.4,Bottom Water,0.3,4.9,8.3,32.5,17.0,24.8,9.5,0.29,22.2751,114.2555833,16,-0.1999999999999993
EM1,Eastern Buffer,1990-07-06,18.0,6.2,8.4,28.8,4.5,25.2,6.0,0.25,Bottom Water,8.0,4.6,8.4,33.7,5.2,22.6,6.0,0.23,22.2751,114.2555833,16,-2.599999999999998
EM1,Eastern Buffer,1990-08-06,6.7,5.5,8.4,29.7,2.3,27.5,1.5,0.23,Bottom Water,0.2,4.5,8.4,33.3,6.7,25.9,7.0,0.09,22.2751,114.2555833,16,-1.6000000000000014
EM1,Eastern Buffer,1990-09-07,12.0,6.6,8.5,32.3,4.3,28.0,2.5,0.02,Bottom Water,0.8,4.8,8.4,32.9,8.6,27.3,6.0,0.09,22.2751,114.2555833,16,-0.6999999999999993
EM1,Eastern Buffer,1990-10-08,1.6,3.6,8.2,31.3,5.0,28.0,5.5,0.09,Bottom Water,0.5,5.1,8.2,32.0,11.0,27.8,8.0,0.07,22.2751,114.2555833,16,-0.1999999999999993
EM1,Eastern Buffer,1990-11-05,6.9,7.5,8.3,32.1,3.7,24.9,1.5,0.04,Bottom Water,6.1,7.3,8.3,32.3,5.3,24.8,3.0,0.07,22.2751,114.2555833,16,-0.09999999999999787
EM1,Eastern Buffer,1990-12-06,0.8,6.1,8.1,32.6,3.2,19.1,11.0,0.21,Bottom Water,0.8,6.4,8.1,32.6,3.5,19.0,5.0,0.18,22.2751,114.2555833,16,-0.10000000000000142
EM1,Eastern Buffer,1991-01-07,0.5,7.8,8.2,32.5,5.2,17.6,2.0,0.12,Bottom Water,0.2,11.3,8.2,32.5,5.2,17.2,11.0,0.14,22.2751,114.2555833,16,-0.40000000000000213
