,station,site,date,chla_surf,diss_o_surf,ph_surf,salinity_surf,turbidity_surf,temp_surf,suspended_solids_surf,nitrates_surf,depth_bott,chla_bott,diss_o_bott,ph_bott,salinity_bott,turbidity_bott,temp_bott,suspended_solids_bott,nitrates_bott,latitude,longitude,depth_m,temp_delta
780,EM1,Eastern Buffer,1986-07-07,14.0,4.6,8.1,23.9,3.1,26.5,3.5,0.5,Bottom Water,6.3,4.2,8.0,30.8,2.4,22.6,1.5,0.15,22.2751,114.2555833,16,-3.8999999999999986
781,EM1,Eastern Buffer,1986-08-04,6.6,8.1,8.3,30.3,3.4,26.4,2.5,0.05,Bottom Water,22.0,5.1,8.2,31.3,4.1,25.2,5.5,0.27,22.2751,114.2555833,16,-1.1999999999999993
782,EM1,Eastern Buffer,1986-09-01,10.0,3.4,7.9,30.8,3.4,29.5,1.0,0.35,Bottom Water,1.5,3.2,7.9,32.5,5.1,28.5,4.5,0.24,22.2751,114.2555833,16,-1.0
791,EM1,Eastern Buffer,1987-06-08,27.0,5.8,8.2,27.2,2.4,25.4,9.0,0.21,Bottom Water,2.7,4.1,8.0,33.2,2.7,23.8,4.5,0.14,22.2751,114.2555833,16,-1.5999999999999979
792,EM1,Eastern Buffer,1987-07-10,30.0,3.5,8.3,26.7,4.7,26.7,5.5,0.27,Bottom Water,4.0,2.2,7.9,32.1,15.0,24.0,13.0,0.29,22.2751,114.2555833,16,-2.6999999999999993
793,EM1,Eastern Buffer,1987-08-07,17.0,5.1,8.2,29.4,6.0,24.3,9.5,0.15,Bottom Water,1.9,3.6,8.0,34.1,11.0,21.7,14.0,0.12,22.2751,114.2555833,16,-2.6000000000000014
794,EM1,Eastern Buffer,1987-09-07,6.1,4.1,8.2,31.3,17.0,25.6,11.0,0.19,Bottom Water,7.1,4.0,8.2,31.4,12.0,25.4,12.0,0.19,22.2751,114.2555833,16,-0.20000000000000284
803,EM1,Eastern Buffer,1988-06-06,10.0,5.8,8.1,33.4,4.2,26.6,1.0,0.1,Bottom Water,8.4,5.4,8.1,33.8,6.6,25.8,4.0,0.09,22.2751,114.2555833,16,-0.8000000000000007
804,EM1,Eastern Buffer,1988-07-08,37.0,5.8,8.3,29.0,4.5,25.8,7.0,0.08,Bottom Water,1.9,4.8,8.1,33.5,5.9,23.3,6.0,0.1,22.2751,114.2555833,16,-2.5
805,EM1,Eastern Buffer,1988-08-12,6.3,6.1,8.4,31.0,2.3,26.8,2.0,0.06,Bottom Water,3.4,3.6,8.2,33.1,4.8,23.8,4.0,0.24,22.2751,114.2555833,16,-3.0
