,station,site,date,chla_surf,diss_o_surf,ph_surf,salinity_surf,turbidity_surf,temp_surf,suspended_solids_surf,nitrates_surf,depth_bott,chla_bott,diss_o_bott,ph_bott,salinity_bott,turbidity_bott,temp_bott,suspended_solids_bott,nitrates_bott,latitude,longitude,depth_m,temp_delta
784,EM1,Eastern Buffer,1986-11-10,1.7,5.8,8.2,33.5,3.8,23.5,3.0,0.2,Bottom Water,1.7,5.7,8.2,33.4,5.2,23.4,3.5,0.18,22.2751,114.2555833,16,-0.10000000000000142
785,EM1,Eastern Buffer,1986-12-08,1.3,6.2,8.1,31.8,3.0,19.2,3.0,0.22,Bottom Water,1.0,6.2,8.1,31.7,3.8,19.2,3.0,0.21,22.2751,114.2555833,16,0.0
786,EM1,Eastern Buffer,1987-01-09,6.7,5.6,8.0,31.3,2.2,18.2,2.5,0.33,Bottom Water,1.9,6.0,8.0,30.6,3.7,18.0,1.5,0.27,22.2751,114.2555833,16,-0.1999999999999993
787,EM1,Eastern Buffer,1987-02-09,1.0,6.8,8.1,32.2,1.8,17.2,1.0,0.26,Bottom Water,1.0,7.1,8.2,32.2,1.9,17.1,1.5,0.12,22.2751,114.2555833,16,-0.09999999999999787
796,EM1,Eastern Buffer,1987-11-05,1.5,5.0,8.1,33.4,9.5,24.7,5.5,0.23,Bottom Water,1.0,5.2,8.1,33.4,10.0,24.7,7.5,0.26,22.2751,114.2555833,16,0.0
797,EM1,Eastern Buffer,1987-12-07,1.7,6.2,8.2,33.0,4.1,18.0,3.0,0.1,Bottom Water,1.5,6.5,8.2,33.0,6.1,17.8,7.0,0.11,22.2751,114.2555833,16,-0.1999999999999993
798,EM1,Eastern Buffer,1988-01-07,2.1,6.5,8.1,31.4,3.9,18.0,5.0,0.31,Bottom Water,1.7,6.8,8.2,31.6,3.1,17.7,6.5,0.22,22.2751,114.2555833,16,-0.3000000000000007
799,EM1,Eastern Buffer,1988-02-08,2.3,6.7,8.1,32.9,4.6,17.6,3.5,0.15,Bottom Water,1.3,6.8,8.0,32.9,3.8,17.6,4.5,0.15,22.2751,114.2555833,16,0.0
808,EM1,Eastern Buffer,1988-11-18,0.2,3.6,8.0,31.1,3.2,21.4,2.5,0.58,Bottom Water,0.6,3.8,8.0,31.2,3.8,21.4,2.0,0.56,22.2751,114.2555833,16,0.0
809,EM1,Eastern Buffer,1988-12-12,1.0,5.9,8.3,31.0,4.0,19.2,4.0,0.29,Bottom Water,1.0,6.4,8.3,31.1,14.7,19.0,12.0,0.23,22.2751,114.2555833,16,-0.1999999999999993
810,EM1,Eastern Buffer,1989-01-09,0.6,6.2,8.3,31.7,5.9,17.5,4.5,0.24,Bottom Water,0.4,6.7,8.4,31.7,7.8,17.3,5.0,0.2,22.2751,114.2555833,16,-0.1999999999999993
811,EM1,Eastern Buffer,1989-02-13,3.6,7.4,8.3,31.9,3.8,15.0,4.0,0.18,Bottom Water,4.0,7.6,8.3,31.9,4.0,14.9,3.0,0.19,22.2751,114.2555833,16,-0.09999999999999964
820,EM1,Eastern Buffer,1989-11-06,3.1,4.3,8.3,32.2,2.6,24.9,2.0,0.36,Bottom Water,2.1,5.1,8.4,33.3,4.9,24.8,4.5,0.21,22.2751,114.2555833,16,-0.09999999999999787
821,EM1,Eastern Buffer,1989-12-08,6.7,3.5,8.2,31.3,4.0,20.4,3.0,0.45,Bottom Water,7.2,3.3,8.2,31.4,4.3,20.3,0.5,0.44,22.2751,114.2555833,16,-0.09999999999999787
822,EM1,Eastern Buffer,1990-01-05,7.0,6.2,8.2,31.5,4.5,17.9,2.5,0.22,Bottom Water,0.6,5.9,8.2,31.6,3.8,17.9,4.0,0.21,22.2751,114.2555833,16,0.0
823,EM1,Eastern Buffer,1990-02-05,4.9,6.3,8.4,30.4,4.0,15.8,2.0,0.61,Bottom Water,0.2,6.5,8.5,31.2,2.3,15.5,1.0,0.18,22.2751,114.2555833,16,-0.3000000000000007
832,EM1,Eastern Buffer,1990-11-05,6.9,7.5,8.3,32.1,3.7,24.9,1.5,0.04,Bottom Water,6.1,7.3,8.3,32.3,5.3,24.8,3.0,0.07,22.2751,114.2555833,16,-0.09999999999999787
833,EM1,Eastern Buffer,1990-12-06,0.8,6.1,8.1,32.6,3.2,19.1,11.0,0.21,Bottom Water,0.8,6.4,8.1,32.6,3.5,19.0,5.0,0.18,22.2751,114.2555833,16,-0.10000000000000142
834,EM1,Eastern Buffer,1991-01-07,0.5,7.8,8.2,32.5,5.2,17.6,2.0,0.12,Bottom Water,0.2,11.3,8.2,32.5,5.2,17.2,11.0,0.14,22.2751,114.2555833,16,-0.40000000000000213
835,EM1,Eastern Buffer,1991-02-08,1.1,7.4,8.1,31.9,2.0,17.5,2.5,0.35,Bottom Water,0.5,7.7,8.2,32.0,1.9,17.2,2.5,0.29,22.2751,114.2555833,16,-0.3000000000000007
844,EM1,Eastern Buffer,1991-11-04,3.2,4.7,7.9,32.5,2.4,23.9,8.0,0.56,Bottom Water,2.1,4.1,8.0,32.7,3.4,23.8,14.0,0.46,22.2751,114.2555833,16,-0.09999999999999787
845,EM1,Eastern Buffer,1991-12-03,0.2,8.0,8.0,31.2,3.2,21.0,4.5,0.37,Bottom Water,0.2,6.3,8.1,31.5,6.5,20.7,8.0,0.3,22.2751,114.2555833,16,-0.3000000000000007
846,EM1,Eastern Buffer,1992-01-03,0.2,11.2,8.9,35.6,3.5,16.6,3.5,0.3,Bottom Water,0.3,10.3,8.9,34.7,3.8,16.5,3.5,0.23,22.2751,114.2555833,16,-0.10000000000000142
847,EM1,Eastern Buffer,1992-02-14,0.3,6.0,8.1,32.0,3.8,15.5,4.5,0.18,Bottom Water,0.2,6.1,8.1,32.1,13.0,15.7,20.0,0.15,22.2751,114.2555833,16,0.1999999999999993
856,EM1,Eastern Buffer,1992-11-12,0.2,6.5,8.0,32.9,7.6,21.5,9.0,0.28,Bottom Water,0.2,6.2,8.0,33.0,10.0,21.3,8.0,0.27,22.2751,114.2555833,16,-0.1999999999999993
857,EM1,Eastern Buffer,1992-12-02,1.4,5.9,8.0,33.0,6.1,20.6,4.0,0.94,Bottom Water,1.1,10.9,8.1,33.0,4.9,20.4,5.5,0.38,22.2751,114.2555833,16,-0.20000000000000284
858,EM1,Eastern Buffer,1993-01-18,0.3,9.3,8.2,33.3,7.4,17.2,7.5,0.19,Bottom Water,0.2,9.1,8.2,33.4,6.2,17.2,32.0,0.25,22.2751,114.2555833,16,0.0
859,EM1,Eastern Buffer,1993-02-10,0.4,7.4,8.2,33.5,11.0,16.9,8.0,0.6,Bottom Water,1.5,7.6,8.2,33.7,70.0,16.9,53.0,0.23,22.2751,114.2555833,16,0.0
868,EM1,Eastern Buffer,1993-11-01,1.3,6.2,8.2,32.7,3.3,24.1,9.3,0.32,Bottom Water,1.0,6.6,8.3,32.8,9.1,24.0,8.8,0.21,22.2751,114.2555833,16,-0.10000000000000142
869,EM1,Eastern Buffer,1993-12-01,0.9,6.3,8.2,32.6,2.9,21.6,4.1,0.3,Bottom Water,0.3,6.3,8.3,32.7,4.2,21.5,8.1,0.18,22.2751,114.2555833,16,-0.10000000000000142
870,EM1,Eastern Buffer,1994-01-03,0.4,5.9,8.2,31.1,3.2,17.8,3.0,0.43,Bottom Water,0.5,5.9,8.2,31.0,2.9,17.6,4.0,0.41,22.2751,114.2555833,16,-0.1999999999999993
871,EM1,Eastern Buffer,1994-01-31,0.6,7.1,8.3,31.8,3.8,16.9,4.5,0.39,Bottom Water,0.7,7.1,8.3,31.8,3.5,16.6,5.1,0.23,22.2751,114.2555833,16,-0.29999999999999716
880,EM1,Eastern Buffer,1994-11-03,1.2,5.2,8.4,32.5,4.3,24.5,4.6,0.33,Bottom Water,1.2,4.8,8.4,32.5,4.1,24.4,8.1,0.3,22.2751,114.2555833,16,-0.10000000000000142
881,EM1,Eastern Buffer,1994-12-01,0.8,5.8,8.0,32.4,3.7,23.2,16.0,1.74,Bottom Water,1.3,5.5,8.1,32.7,4.3,23.1,5.0,0.32,22.2751,114.2555833,16,-0.09999999999999787
882,EM1,Eastern Buffer,1995-01-04,0.7,6.2,8.0,33.2,3.1,19.3,5.3,0.18,Bottom Water,0.6,6.0,8.0,33.2,4.7,19.2,15.0,0.18,22.2751,114.2555833,16,-0.10000000000000142
883,EM1,Eastern Buffer,1995-02-08,1.0,6.7,8.2,32.3,2.1,15.9,11.0,0.23,Bottom Water,0.6,6.4,8.2,32.3,2.4,15.7,56.0,0.26,22.2751,114.2555833,16,-0.20000000000000107
892,EM1,Eastern Buffer,1995-11-02,3.2,6.1,8.2,32.9,5.8,25.1,2.6,0.23,Bottom Water,3.0,5.9,8.2,33.0,4.5,25.0,3.6,0.23,22.2751,114.2555833,16,-0.10000000000000142
893,EM1,Eastern Buffer,1995-12-01,1.2,5.8,8.3,33.5,4.2,21.4,3.1,0.41,Bottom Water,0.7,6.0,8.3,33.6,6.9,21.4,13.0,0.27,22.2751,114.2555833,16,0.0
894,EM1,Eastern Buffer,1996-01-02,0.9,4.9,8.2,33.4,3.7,18.3,2.5,0.45,Bottom Water,0.7,5.3,8.3,33.7,3.9,18.1,1.8,0.38,22.2751,114.2555833,16,-0.1999999999999993
895,EM1,Eastern Buffer,1996-02-01,0.8,4.3,8.3,33.8,4.8,19.6,4.1,1.14,Bottom Water,0.7,4.8,8.4,34.2,5.6,19.5,10.0,0.14,22.2751,114.2555833,16,-0.10000000000000142
904,EM1,Eastern Buffer,1996-11-01,1.3,2.7,7.7,32.2,2.6,26.5,6.6,0.73,Bottom Water,1.0,2.7,7.8,32.4,1.5,26.3,3.8,0.33,22.2751,114.2555833,16,-0.1999999999999993
905,EM1,Eastern Buffer,1996-12-02,2.2,6.1,7.7,30.1,1.9,24.6,5.6,0.17,Bottom Water,2.7,5.4,7.8,32.7,1.7,21.3,5.1,0.16,22.2751,114.2555833,16,-3.3000000000000007
906,EM1,Eastern Buffer,1997-01-02,2.4,6.1,7.7,32.9,0.7,17.7,2.0,0.44,Bottom Water,1.1,5.1,7.7,31.4,1.1,19.2,12.0,0.45,22.2751,114.2555833,16,1.5
907,EM1,Eastern Buffer,1997-02-10,1.7,8.0,8.0,31.8,2.0,18.7,4.6,0.38,Bottom Water,1.1,6.3,8.0,32.3,1.6,17.7,4.3,0.38,22.2751,114.2555833,16,-1.0
915,EM1,Eastern Buffer,1997-11-03,1.8,4.9,8.1,31.9,4.8,25.6,5.0,0.3,Bottom Water,1.2,4.7,8.1,32.1,4.5,25.3,9.5,0.34,22.2751,114.2555833,16,-0.3000000000000007
916,EM1,Eastern Buffer,1997-12-03,0.9,3.9,7.9,32.8,8.0,22.8,5.8,0.21,Bottom Water,1.2,5.4,7.9,34.5,15.2,23.1,5.9,0.23,22.2751,114.2555833,16,0.3000000000000007
917,EM1,Eastern Buffer,1998-01-05,2.9,4.9,8.1,31.9,4.8,25.6,4.0,0.21,Bottom Water,2.2,4.7,8.1,32.1,4.5,25.3,6.3,0.21,22.2751,114.2555833,16,-0.3000000000000007
918,EM1,Eastern Buffer,1998-02-02,2.6,7.1,7.9,33.5,3.2,17.4,2.9,0.23,Bottom Water,1.2,6.7,7.9,33.5,3.2,17.4,2.5,0.25,22.2751,114.2555833,16,0.0
927,EM1,Eastern Buffer,1998-11-13,2.5,6.6,8.2,30.6,2.4,24.3,2.2,0.45,Bottom Water,4.6,6.5,8.2,30.7,3.5,24.2,3.2,0.3,22.2751,114.2555833,16,-0.10000000000000142
928,EM1,Eastern Buffer,1998-12-02,1.6,3.8,7.9,30.0,2.6,22.9,3.4,0.61,Bottom Water,1.2,4.1,7.9,30.1,2.9,22.9,4.3,0.56,22.2751,114.2555833,16,0.0
929,EM1,Eastern Buffer,1999-01-13,1.6,5.0,8.3,31.2,3.5,17.7,2.0,0.29,Bottom Water,1.3,5.5,8.3,31.3,4.7,17.5,2.1,0.3,22.2751,114.2555833,16,-0.1999999999999993
930,EM1,Eastern Buffer,1999-02-02,2.3,5.1,8.0,31.5,3.5,18.0,2.2,0.39,Bottom Water,2.0,5.7,8.1,31.7,3.3,17.9,2.3,0.3,22.2751,114.2555833,16,-0.10000000000000142
