"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"Deep Bay","DM1","1986-02-14","1","Surface Water","29","N/A","8.1","26.9","8.8","19.4","57","N/A"
"Deep Bay","DM1","1986-02-14","1","Middle Water","N/A","N/A","N/A","23.4","N/A","17.9","N/A","N/A"
"Deep Bay","DM1","1986-02-14","1","Bottom Water","N/A","N/A","N/A","24.1","N/A","17.8","N/A","N/A"
"Deep Bay","DM1","1986-05-07","1","Surface Water","4.5","3.1","7.6","17.6","38","26.3","26","N/A"
"Deep Bay","DM1","1986-08-07","1","Surface Water","7.6","6.3","8.2","14.1","13","30.8","10","0.57"
"Deep Bay","DM1","1986-10-03","1","Surface Water","4","5.1","7.9","22.2","40","25.8","18","0.6"
"Deep Bay","DM1","1986-12-18","1","Surface Water","3.1","3.4","7.6","24.8","59","19.3","78","4.61"
"Deep Bay","DM1","1987-02-12","1","Surface Water","1.1","3.6","7.4","24.5","21","21.5","15","4.19"
"Deep Bay","DM1","1987-04-30","1","Surface Water","<0.2","5.1","7.8","17.9","25.3","25.7","13","0.99"
"Deep Bay","DM1","1987-04-30","1","Bottom Water","2.9","5.2","7.8","18.5","25.4","25.5","15","1.82"
"Deep Bay","DM1","1987-06-11","1","Surface Water","3.2","4.8","7.5","15.4","18","25.9","5.5","0.97"
"Deep Bay","DM1","1987-09-17","1","Surface Water","5.3","1.2","7.8","14","87","29.7","60","4.54"
"Deep Bay","DM1","1987-10-13","1","Surface Water","7.7","2.1","7.4","13","63","28.3","26","5.19"
"Deep Bay","DM1","1987-12-28","1","Surface Water","10","0.5","7.4","16.1","73","20.4","25","14.05"
"Deep Bay","DM1","1988-01-22","1","Surface Water","1.1","3.1","7.6","24.7","92","18.4","88","0.43"
"Deep Bay","DM1","1988-02-25","1","Surface Water","1","7.2","7.9","29.2","14.5","18.2","15","1.55"
"Deep Bay","DM1","1988-03-11","1","Surface Water","1","7.2","7.5","27.5","6","15.9","27","3.53"
"Deep Bay","DM1","1988-04-14","1","Surface Water","11","2.5","7.4","20.6","100","19.9","46","6.91"
"Deep Bay","DM1","1988-05-20","1","Surface Water","3.7","4.7","7.8","16.9","24","28.2","21","2.17"
"Deep Bay","DM1","1988-06-07","1","Surface Water","16","3.4","7.5","15.8","22","27.7","15","6.28"
"Deep Bay","DM1","1988-07-14","1","Surface Water","4","3.8","7.8","14.1","23","29.6","17","2"
"Deep Bay","DM1","1988-08-08","1","Surface Water","14","2.1","7.7","12.7","45","30.5","48","4.45"
"Deep Bay","DM1","1988-09-12","1","Surface Water","41","8.1","8.4","9.4","26","30","30","1.91"
"Deep Bay","DM1","1988-10-10","1","Surface Water","5.1","7.2","8.3","25.1","4.9","25","9","1.34"
"Deep Bay","DM1","1988-10-10","1","Bottom Water","7.3","N/A","N/A","N/A","N/A","N/A","9","1.37"
"Deep Bay","DM1","1988-11-24","1","Surface Water","5","5.5","N/A","26.1","100","18.9","210","3.78"
"Deep Bay","DM1","1988-12-09","1","Surface Water","2.3","5.2","7.8","23.6","100","17","160","3.74"
"Deep Bay","DM1","1989-01-13","1","Surface Water","1.9","5","7.6","22","208","14.6","23","5.18"
"Deep Bay","DM1","1989-02-17","1","Surface Water","3.2","6.6","8","26.4","14","17.5","14","3.88"
"Deep Bay","DM1","1989-03-14","1","Surface Water","9.3","4.3","7.7","18.3","360","19.2","150","4.4"
