"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"Eastern Buffer","EM1","1986-01-16","1","Surface Water","N/A","N/A","N/A","33","1.2","16.3","N/A","N/A"
"Eastern Buffer","EM1","1986-01-16","1","Middle Water","2.1","N/A","8.2","33","1.4","16.1","42","N/A"
"Eastern Buffer","EM1","1986-01-16","1","Bottom Water","N/A","N/A","N/A","33","1.8","16.1","N/A","N/A"
"Eastern Buffer","EM1","1986-04-11","1","Surface Water","2","4.9","8.1","33.8","1.9","19.1","1.5","0.21"
"Eastern Buffer","EM1","1986-04-11","1","Bottom Water","0.8","5.7","8.2","34","9","19.6","31","0.13"
"Eastern Buffer","EM1","1986-05-12","1","Surface Water","1.3","4.8","8","30.6","3.3","24.5","4","0.32"
"Eastern Buffer","EM1","1986-05-12","1","Bottom Water","0.6","6","8.1","33.5","1.2","24.6","1.5","0.14"
"Eastern Buffer","EM1","1986-06-09","1","Surface Water","N/A","5.9","N/A","32.2","1","25.8","N/A","N/A"
"Eastern Buffer","EM1","1986-06-09","1","Middle Water","2","5.9","8.1","32.2","1.1","25.8","2","0.05"
"Eastern Buffer","EM1","1986-06-09","1","Bottom Water","N/A","5.5","N/A","32.3","1.1","25.7","N/A","N/A"
"Eastern Buffer","EM1","1986-07-07","1","Surface Water","14","4.6","8.1","23.9","3.1","26.5","3.5","0.5"
"Eastern Buffer","EM1","1986-07-07","1","Middle Water","5","4.3","8","30.7","1.9","23.2","2","0.17"
"Eastern Buffer","EM1","1986-07-07","1","Bottom Water","6.3","4.2","8","30.8","2.4","22.6","1.5","0.15"
"Eastern Buffer","EM1","1986-08-04","1","Surface Water","6.6","8.1","8.3","30.3","3.4","26.4","2.5","0.05"
"Eastern Buffer","EM1","1986-08-04","1","Middle Water","5.6","6.9","8.2","31","4.5","26.1","3.5","0.06"
"Eastern Buffer","EM1","1986-08-04","1","Bottom Water","22","5.1","8.2","31.3","4.1","25.2","5.5","0.27"
"Eastern Buffer","EM1","1986-09-01","1","Surface Water","10","3.4","7.9","30.8","3.4","29.5","1","0.35"
"Eastern Buffer","EM1","1986-09-01","1","Middle Water","2.7","2.8","7.8","32.1","5","28.6","8","0.31"
"Eastern Buffer","EM1","1986-09-01","1","Bottom Water","1.5","3.2","7.9","32.5","5.1","28.5","4.5","0.24"
"Eastern Buffer","EM1","1986-10-10","1","Surface Water","2.1","2.9","8.1","32.8","5.3","27.1","6","0.46"
"Eastern Buffer","EM1","1986-10-10","1","Middle Water","1.5","3.1","8.1","32.9","6.1","27","2","0.4"
"Eastern Buffer","EM1","1986-10-10","1","Bottom Water","1","4","8.2","33","10","26.9","11","0.37"
"Eastern Buffer","EM1","1986-11-10","1","Surface Water","1.7","5.8","8.2","33.5","3.8","23.5","3","0.2"
"Eastern Buffer","EM1","1986-11-10","1","Middle Water","2.5","5.7","8.2","33.5","5.6","23.4","4","0.18"
"Eastern Buffer","EM1","1986-11-10","1","Bottom Water","1.7","5.7","8.2","33.4","5.2","23.4","3.5","0.18"
"Eastern Buffer","EM1","1986-12-08","1","Surface Water","1.3","6.2","8.1","31.8","3","19.2","3","0.22"
"Eastern Buffer","EM1","1986-12-08","1","Middle Water","0.8","6.2","8.1","31.8","3","19.2","1","0.23"
"Eastern Buffer","EM1","1986-12-08","1","Bottom Water","1","6.2","8.1","31.7","3.8","19.2","3","0.21"
"Eastern Buffer","EM1","1987-01-09","1","Surface Water","6.7","5.6","8","31.3","2.2","18.2","2.5","0.33"
"Eastern Buffer","EM1","1987-01-09","1","Middle Water","5.7","5.8","8","31.4","1.9","18","1.5","0.34"
"Eastern Buffer","EM1","1987-01-09","1","Bottom Water","1.9","6","8","30.6","3.7","18","1.5","0.27"
"Eastern Buffer","EM1","1987-02-09","1","Surface Water","1","6.8","8.1","32.2","1.8","17.2","1","0.26"
"Eastern Buffer","EM1","1987-02-09","1","Middle Water","1","7.1","8.1","32.2","1.7","17.2","1","0.24"
"Eastern Buffer","EM1","1987-02-09","1","Bottom Water","1","7.1","8.2","32.2","1.9","17.1","1.5","0.12"
"Eastern Buffer","EM1","1987-03-09","1","Surface Water","<0.2","5.3","7.8","32.8","1.3","19.6","5","0.39"
"Eastern Buffer","EM1","1987-03-09","1","Middle Water","<0.2","5.1","7.8","33.2","1.4","19.3","2","0.31"
"Eastern Buffer","EM1","1987-03-09","1","Bottom Water","0.4","5.7","7.9","33.8","6.9","19.2","5.5","0.18"
"Eastern Buffer","EM1","1987-04-02","1","Surface Water","<0.2","5.5","8","32.4","5.8","20.4","31","0.43"
"Eastern Buffer","EM1","1987-04-02","1","Middle Water","<0.2","5.5","8","32.4","6.8","20.5","8.5","0.35"
"Eastern Buffer","EM1","1987-04-02","1","Bottom Water","<0.2","6.1","8","32.5","7.9","20.3","9.5","0.29"
"Eastern Buffer","EM1","1987-05-08","1","Surface Water","0.4","4.8","7.9","32.5","1.8","22.8","3.5","0.26"
"Eastern Buffer","EM1","1987-05-08","1","Middle Water","0.4","4.9","7.9","32.7","1.7","22.7","5","0.24"
"Eastern Buffer","EM1","1987-05-08","1","Bottom Water","0.4","5.2","7.9","32.9","3.4","22.6","4.5","0.12"
"Eastern Buffer","EM1","1987-06-08","1","Surface Water","27","5.8","8.2","27.2","2.4","25.4","9","0.21"
"Eastern Buffer","EM1","1987-06-08","1","Middle Water","8.2","4.1","8","32.5","2.2","24","4","0.13"
"Eastern Buffer","EM1","1987-06-08","1","Bottom Water","2.7","4.1","8","33.2","2.7","23.8","4.5","0.14"
"Eastern Buffer","EM1","1987-07-10","1","Surface Water","30","3.5","8.3","26.7","4.7","26.7","5.5","0.27"
"Eastern Buffer","EM1","1987-07-10","1","Middle Water","18","3.2","8.1","28.9","7.8","25.9","10","0.27"
"Eastern Buffer","EM1","1987-07-10","1","Bottom Water","4","2.2","7.9","32.1","15","24","13","0.29"
"Eastern Buffer","EM1","1987-08-07","1","Surface Water","17","5.1","8.2","29.4","6","24.3","9.5","0.15"
"Eastern Buffer","EM1","1987-08-07","1","Middle Water","2.1","3.6","8","33.6","11.5","22","11","0.12"
"Eastern Buffer","EM1","1987-08-07","1","Bottom Water","1.9","3.6","8","34.1","11","21.7","14","0.12"
"Eastern Buffer","EM1","1987-09-07","1","Surface Water","6.1","4.1","8.2","31.3","17","25.6","11","0.19"
"Eastern Buffer","EM1","1987-09-07","1","Middle Water","6.9","4","8.2","31.4","13","25.6","13","0.2"
"Eastern Buffer","EM1","1987-09-07","1","Bottom Water","7.1","4","8.2","31.4","12","25.4","12","0.19"
"Eastern Buffer","EM1","1987-10-09","1","Surface Water","6.9","4.8","7.8","32.4","8.5","27.5","2.5","0.34"
"Eastern Buffer","EM1","1987-10-09","1","Middle Water","5.9","4.7","7.8","32.5","11","27.4","4","0.37"
"Eastern Buffer","EM1","1987-10-09","1","Bottom Water","5.3","4.6","7.7","32.6","8.2","27.4","9","0.36"
"Eastern Buffer","EM1","1987-11-05","1","Surface Water","1.5","5","8.1","33.4","9.5","24.7","5.5","0.23"
"Eastern Buffer","EM1","1987-11-05","1","Middle Water","1.5","5","8.1","33.4","10.5","24.7","7","0.27"
"Eastern Buffer","EM1","1987-11-05","1","Bottom Water","1","5.2","8.1","33.4","10","24.7","7.5","0.26"
"Eastern Buffer","EM1","1987-12-07","1","Surface Water","1.7","6.2","8.2","33","4.1","18","3","0.1"
"Eastern Buffer","EM1","1987-12-07","1","Middle Water","1.7","6.2","8.3","33","5.5","17.9","5","0.11"
"Eastern Buffer","EM1","1987-12-07","1","Bottom Water","1.5","6.5","8.2","33","6.1","17.8","7","0.11"
"Eastern Buffer","EM1","1988-01-07","1","Surface Water","2.1","6.5","8.1","31.4","3.9","18","5","0.31"
"Eastern Buffer","EM1","1988-01-07","1","Middle Water","2.7","6.6","8.2","31.5","3.5","17.7","5.5","0.27"
"Eastern Buffer","EM1","1988-01-07","1","Bottom Water","1.7","6.8","8.2","31.6","3.1","17.7","6.5","0.22"
"Eastern Buffer","EM1","1988-02-08","1","Surface Water","2.3","6.7","8.1","32.9","4.6","17.6","3.5","0.15"
"Eastern Buffer","EM1","1988-02-08","1","Middle Water","1.9","6.8","8.1","32.9","6.3","17.6","7.5","0.14"
"Eastern Buffer","EM1","1988-02-08","1","Bottom Water","1.3","6.8","8","32.9","3.8","17.6","4.5","0.15"
"Eastern Buffer","EM1","1988-03-07","1","Surface Water","1.5","5.6","8","31.9","3.1","15","7.5","0.24"
"Eastern Buffer","EM1","1988-03-07","1","Middle Water","1.3","5.7","8","32","1.4","14.9","7","0.23"
"Eastern Buffer","EM1","1988-03-07","1","Bottom Water","1","5.8","8","32.1","2.3","14.9","19","0.2"
"Eastern Buffer","EM1","1988-04-11","1","Surface Water","2.7","7.8","8.3","32.9","6.2","16.9","2","0.03"
"Eastern Buffer","EM1","1988-04-11","1","Middle Water","3.2","7.7","8.3","32.8","7.6","16.9","4.5","0.02"
"Eastern Buffer","EM1","1988-04-11","1","Bottom Water","1.9","7.6","8.3","32.8","10.1","16.9","4","0.04"
"Eastern Buffer","EM1","1988-05-12","1","Surface Water","5","5.3","8.1","32.2","4","24.8","1","0.27"
"Eastern Buffer","EM1","1988-05-12","1","Middle Water","1.5","5.3","8.1","33.7","3.5","23.1","1.5","0.14"
"Eastern Buffer","EM1","1988-05-12","1","Bottom Water","2.3","5.3","8.1","33.8","3.3","23","4","0.13"
"Eastern Buffer","EM1","1988-06-06","1","Surface Water","10","5.8","8.1","33.4","4.2","26.6","1","0.1"
"Eastern Buffer","EM1","1988-06-06","1","Middle Water","8","5.6","8.2","33.5","6.2","26.1","2.5","0.1"
"Eastern Buffer","EM1","1988-06-06","1","Bottom Water","8.4","5.4","8.1","33.8","6.6","25.8","4","0.09"
"Eastern Buffer","EM1","1988-07-08","1","Surface Water","37","5.8","8.3","29","4.5","25.8","7","0.08"
"Eastern Buffer","EM1","1988-07-08","1","Middle Water","1.7","4.7","8.1","33.2","5.5","23.5","7","0.12"
"Eastern Buffer","EM1","1988-07-08","1","Bottom Water","1.9","4.8","8.1","33.5","5.9","23.3","6","0.1"
"Eastern Buffer","EM1","1988-08-12","1","Surface Water","6.3","6.1","8.4","31","2.3","26.8","2","0.06"
"Eastern Buffer","EM1","1988-08-12","1","Middle Water","5.3","4","8.3","32.4","3.5","24.5","3.5","0.18"
"Eastern Buffer","EM1","1988-08-12","1","Bottom Water","3.4","3.6","8.2","33.1","4.8","23.8","4","0.24"
"Eastern Buffer","EM1","1988-09-13","1","Surface Water","12","7.3","8.5","30.3","1.5","26","5","0.05"
"Eastern Buffer","EM1","1988-09-13","1","Middle Water","12","5.4","8.1","32.1","6.5","24.7","2","0.13"
"Eastern Buffer","EM1","1988-09-13","1","Bottom Water","4.6","3.9","8.4","33","5","23.5","7","0.08"
"Eastern Buffer","EM1","1988-10-07","1","Surface Water","2.3","4.7","8.3","31.9","3.3","24.9","1.5","0.19"
"Eastern Buffer","EM1","1988-10-07","1","Middle Water","1.3","4.8","8.3","31.9","5.3","24.7","5.5","0.08"
"Eastern Buffer","EM1","1988-10-07","1","Bottom Water","1.5","4.9","8.4","31.9","6.3","24.7","6","0.21"
"Eastern Buffer","EM1","1988-11-18","1","Surface Water","<0.2","3.6","8","31.1","3.2","21.4","2.5","0.58"
"Eastern Buffer","EM1","1988-11-18","1","Middle Water","0.2","3.7","8","31.1","3.5","21.4","2","0.57"
"Eastern Buffer","EM1","1988-11-18","1","Bottom Water","0.6","3.8","8","31.2","3.8","21.4","2","0.56"
"Eastern Buffer","EM1","1988-12-12","1","Surface Water","1","5.9","8.3","31","4","19.2","4","0.29"
"Eastern Buffer","EM1","1988-12-12","1","Middle Water","0.8","6.1","8.3","31.1","7.3","19","6.5","0.27"
"Eastern Buffer","EM1","1988-12-12","1","Bottom Water","1","6.4","8.3","31.1","14.7","19","12","0.23"
"Eastern Buffer","EM1","1989-01-09","1","Surface Water","0.6","6.2","8.3","31.7","5.9","17.5","4.5","0.24"
"Eastern Buffer","EM1","1989-01-09","1","Middle Water","0.4","6.6","8.3","31.7","7.8","17.4","5","0.22"
"Eastern Buffer","EM1","1989-01-09","1","Bottom Water","0.4","6.7","8.4","31.7","7.8","17.3","5","0.2"
"Eastern Buffer","EM1","1989-02-13","1","Surface Water","3.6","7.4","8.3","31.9","3.8","15","4","0.18"
"Eastern Buffer","EM1","1989-02-13","1","Middle Water","3.6","7.5","8.3","31.9","3.9","14.9","3.5","0.19"
"Eastern Buffer","EM1","1989-02-13","1","Bottom Water","4","7.6","8.3","31.9","4","14.9","3","0.19"
"Eastern Buffer","EM1","1989-03-10","1","Surface Water","1.6","7.1","8.3","33.1","2.7","15.8","4","0.15"
"Eastern Buffer","EM1","1989-03-10","1","Middle Water","1.1","7.4","8.3","33.2","2.7","15.7","4","0.15"
"Eastern Buffer","EM1","1989-03-10","1","Bottom Water","0.9","7.6","8.3","33.4","2.8","15.9","4.5","0.11"
"Eastern Buffer","EM1","1989-04-10","1","Surface Water","0.7","5.3","8.2","33","5.1","18.4","2","0.23"
"Eastern Buffer","EM1","1989-04-10","1","Middle Water","<0.2","5.5","8.2","33.1","6.2","18.2","2","0.21"
"Eastern Buffer","EM1","1989-04-10","1","Bottom Water","0.5","6.1","8.1","33.3","6.6","18.2","1.5","0.18"
"Eastern Buffer","EM1","1989-05-08","1","Surface Water","1.9","4.5","8.2","32.3","9.5","22.7","1","0.25"
