"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"Junk Bay","JM3","1986-01-16","1","Surface Water","N/A","N/A","N/A","32.8","1.6","16.5","N/A","N/A"
"Junk Bay","JM3","1986-01-16","1","Middle Water","7.3","N/A","8.1","32.9","1.3","16.5","43","N/A"
"Junk Bay","JM3","1986-01-16","1","Bottom Water","N/A","N/A","N/A","32.9","1.5","16.2","N/A","N/A"
"Junk Bay","JM3","1986-07-07","1","Surface Water","18","9.2","8.5","24.7","4.8","27.1","5","0.22"
"Junk Bay","JM3","1986-07-07","1","Middle Water","8.6","4","8.2","32.3","2.5","22.5","3.5","0.08"
"Junk Bay","JM3","1986-07-07","1","Bottom Water","1","4.4","8.2","33.7","2.3","22.2","2","N/A"
"Junk Bay","JM3","1986-08-04","1","Surface Water","8.4","9.1","8.3","30.2","2","29","1.5","0.16"
"Junk Bay","JM3","1986-08-04","1","Middle Water","6.5","8.5","8.3","30.3","3.2","28.4","2","0.17"
"Junk Bay","JM3","1986-08-04","1","Bottom Water","4.8","4.3","8.3","30.6","1.6","24.3","1.5","0.05"
"Junk Bay","JM3","1986-09-01","1","Surface Water","5.9","5.8","8","31.6","1.6","29.6","2","0.37"
"Junk Bay","JM3","1986-09-01","1","Middle Water","5.3","3.1","8","32.2","1.6","28.9","1.5","0.29"
"Junk Bay","JM3","1986-09-01","1","Bottom Water","1.9","3.2","7.9","32.5","2.4","28.5","0.5","0.27"
"Junk Bay","JM3","1986-10-10","1","Surface Water","0.8","3.1","8.1","32.8","5.9","27","3","0.45"
"Junk Bay","JM3","1986-10-10","1","Middle Water","1.1","3.3","8.1","32.9","7","26.9","4.5","0.4"
"Junk Bay","JM3","1986-10-10","1","Bottom Water","0.8","3.6","8.1","32.8","9.1","26.8","2.5","0.36"
"Junk Bay","JM3","1986-10-11","1","Surface Water","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Junk Bay","JM3","1986-11-10","1","Surface Water","0.8","6.1","8.3","33.6","4.1","23.1","2.5","0.16"
"Junk Bay","JM3","1986-11-10","1","Middle Water","2.5","6","8.3","33.6","5.1","23.1","4","0.15"
"Junk Bay","JM3","1986-11-10","1","Bottom Water","2.9","5.9","8.3","33.5","6.9","23","6","0.16"
"Junk Bay","JM3","1986-12-08","1","Surface Water","1.1","5.9","8.1","31.8","3.1","19.2","1","0.24"
"Junk Bay","JM3","1986-12-08","1","Middle Water","0.8","5.9","8.1","31.7","3.4","19.2","2","0.25"
"Junk Bay","JM3","1986-12-08","1","Bottom Water","1","5.9","8.1","31.8","3.7","19.2","5","0.26"
"Junk Bay","JM3","1987-01-09","1","Surface Water","1.7","8","8.2","31.5","2","18.1","2","0.24"
"Junk Bay","JM3","1987-01-09","1","Middle Water","1.5","7.8","8.2","31.5","1.5","18","5.5","0.29"
"Junk Bay","JM3","1987-01-09","1","Bottom Water","1.7","7.2","8.1","31.5","2.2","17.9","4.5","0.33"
"Junk Bay","JM3","1987-02-09","1","Surface Water","1","7.4","8.1","32.2","1.4","17","0.5","0.26"
"Junk Bay","JM3","1987-02-09","1","Middle Water","0.8","7.3","8.1","32.2","1.5","17.1","2.5","0.23"
"Junk Bay","JM3","1987-02-09","1","Bottom Water","0.4","7.3","8.2","32.4","1.4","17.1","1.5","0.19"
"Junk Bay","JM3","1987-03-09","1","Surface Water","0.6","5.3","7.7","32.8","1.7","20","4.5","0.48"
"Junk Bay","JM3","1987-03-09","1","Middle Water","0.6","5.1","7.8","33","1.6","19.4","7","0.36"
"Junk Bay","JM3","1987-03-09","1","Bottom Water","<0.2","5.5","7.8","33.3","1.8","19.3","4.5","0.31"
"Junk Bay","JM3","1987-04-02","1","Surface Water","<0.2","5.9","8","32.8","3.6","20.2","6","0.25"
"Junk Bay","JM3","1987-04-02","1","Middle Water","<0.2","5.8","8","32.8","3.7","20.1","6","0.31"
"Junk Bay","JM3","1987-04-02","1","Bottom Water","0.6","6","8","32.8","3.4","20.1","9","0.23"
"Junk Bay","JM3","1987-05-08","1","Surface Water","0.6","5.9","8","32.7","1.8","22.8","5","0.2"
"Junk Bay","JM3","1987-05-08","1","Middle Water","<0.2","5.9","8","32.8","1.7","22.8","3.5","0.26"
"Junk Bay","JM3","1987-05-08","1","Bottom Water","<0.2","5.7","8","32.9","1.9","22.7","8","0.27"
"Junk Bay","JM3","1987-06-08","1","Surface Water","29","5.4","8.2","30.3","2.7","25","7","0.32"
"Junk Bay","JM3","1987-06-08","1","Middle Water","7.6","4.3","8","32.3","1.8","24.4","3","0.11"
"Junk Bay","JM3","1987-06-08","1","Bottom Water","4","4.2","8","33.3","2.3","24","1.5","0.12"
"Junk Bay","JM3","1987-07-10","1","Surface Water","41","10.1","8.4","27.3","4.2","27.8","12","0.11"
"Junk Bay","JM3","1987-07-10","1","Middle Water","32","9.4","8.2","27.6","3.3","27.8","9.5","0.15"
"Junk Bay","JM3","1987-07-10","1","Bottom Water","21","3.6","8.1","30.1","3.4","25.6","5","0.17"
"Junk Bay","JM3","1987-08-07","1","Surface Water","10","6.8","8.3","29.2","5.9","25.8","12","0.2"
"Junk Bay","JM3","1987-08-07","1","Middle Water","14","5.9","8.2","29.5","6.6","24.8","7.5","0.17"
"Junk Bay","JM3","1987-08-07","1","Bottom Water","6.1","4.8","8.2","31.2","8.1","23.7","14","0.17"
"Junk Bay","JM3","1987-09-07","1","Surface Water","15","6.2","8.4","31.1","5.4","27.3","2.5","0.03"
"Junk Bay","JM3","1987-09-07","1","Middle Water","9.2","5.3","8.5","31.3","4.2","26.5","6","0.03"
"Junk Bay","JM3","1987-09-07","1","Bottom Water","5","4","8.2","31.8","7.3","25.6","5","0.12"
"Junk Bay","JM3","1987-10-09","1","Surface Water","5.5","4.1","7.8","32.6","10.5","27.4","1","0.32"
"Junk Bay","JM3","1987-10-09","1","Middle Water","6.7","3.9","7.8","32.6","7.5","29.3","4","0.34"
"Junk Bay","JM3","1987-10-09","1","Bottom Water","5.9","4.6","7.8","32.9","8","27.3","2","0.19"
"Junk Bay","JM3","1987-11-05","1","Surface Water","1","5.2","8","33.5","6.5","24.7","2","0.27"
"Junk Bay","JM3","1987-11-05","1","Middle Water","3.1","5.2","8.1","33.5","6","24.6","3","0.21"
"Junk Bay","JM3","1987-11-05","1","Bottom Water","1","5.3","8.1","33.5","8.5","24.6","1.5","0.2"
"Junk Bay","JM3","1987-12-07","1","Surface Water","1.5","6.7","8.3","33.1","5","17.6","5","0.16"
"Junk Bay","JM3","1987-12-07","1","Middle Water","1.3","6.6","8.3","33.1","5.2","17.6","5","0.21"
"Junk Bay","JM3","1987-12-07","1","Bottom Water","1.5","6.7","8.3","33.1","5.3","17.4","5.5","0.16"
"Junk Bay","JM3","1988-01-07","1","Surface Water","2.3","6","8.1","31.4","3.1","18","19","0.38"
"Junk Bay","JM3","1988-01-07","1","Middle Water","2.1","6.2","8.1","31.4","3.9","17.7","6.5","0.31"
"Junk Bay","JM3","1988-01-07","1","Bottom Water","3.1","6.3","8.1","31.4","3.2","17.7","9.5","0.34"
"Junk Bay","JM3","1988-02-08","1","Surface Water","2.3","6.3","8","32.7","3","17.6","4","0.27"
"Junk Bay","JM3","1988-02-08","1","Middle Water","2.3","6.4","8.1","32.8","2.8","17.7","14","0.22"
"Junk Bay","JM3","1988-02-08","1","Bottom Water","1.7","6.7","8.1","32.9","4.1","17.7","5","0.18"
"Junk Bay","JM3","1988-03-07","1","Surface Water","1","5.7","8","32","2","14.9","12","0.24"
"Junk Bay","JM3","1988-03-07","1","Middle Water","1","5.8","8","32","2.1","14.9","5.5","0.26"
"Junk Bay","JM3","1988-03-07","1","Bottom Water","0.6","6","8","32","1.9","14.8","8.5","0.21"
"Junk Bay","JM3","1988-04-11","1","Surface Water","2.9","7.4","8.2","32.6","4.8","16.5","2","0.22"
"Junk Bay","JM3","1988-04-11","1","Middle Water","3.1","7.4","8.2","32.7","6.2","16.5","2","0.12"
"Junk Bay","JM3","1988-04-11","1","Bottom Water","2.7","7.5","8.2","32.8","6.1","16.7","2","0.14"
"Junk Bay","JM3","1988-05-12","1","Surface Water","9","7.5","8.3","32.7","3.5","24.7","1.5","0.22"
"Junk Bay","JM3","1988-05-12","1","Bottom Water","5","6.2","8.2","33.5","3","23.4","2","0.21"
"Junk Bay","JM3","1988-06-06","1","Surface Water","4.2","5.3","8.1","33.3","4.4","26.2","2.5","0.22"
"Junk Bay","JM3","1988-06-06","1","Middle Water","5","5.4","8.1","33.2","4.8","26.2","2.5","0.19"
"Junk Bay","JM3","1988-06-06","1","Bottom Water","6.1","5.3","8.1","33.5","4","26","4","0.1"
"Junk Bay","JM3","1988-07-08","1","Surface Water","8.5","8.6","8.3","31.9","2.5","27.4","3.5","0.2"
"Junk Bay","JM3","1988-07-08","1","Bottom Water","15","7.9","8.4","32","3.5","25.2","4","0.01"
"Junk Bay","JM3","1988-08-12","1","Surface Water","7.6","6.5","8.4","30.9","2.6","26.9","3.5","0.06"
"Junk Bay","JM3","1988-08-12","1","Middle Water","6.9","4.9","8.4","31.2","3.5","26","2","0.13"
"Junk Bay","JM3","1988-08-12","1","Bottom Water","8","3.2","8.4","32.3","3.4","24.9","4","0.12"
