"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"North Western","NM1","1988-01-21","1","Surface Water","3.6","6.7","8.2","32.1","8","17.9","10","0.11"
"North Western","NM1","1988-01-21","1","Middle Water","3.8","6.7","8.2","32.1","8.4","17.9","8","0.11"
"North Western","NM1","1988-01-21","1","Bottom Water","4","6.8","8.2","32.2","8","17.8","24","0.1"
"North Western","NM1","1988-03-21","1","Surface Water","1.5","6.7","8","31.1","11.5","16.7","15","0.23"
"North Western","NM1","1988-03-21","1","Middle Water","1.3","6.5","8","31.2","10","16.6","13","0.22"
"North Western","NM1","1988-03-21","1","Bottom Water","1.9","N/A","8","N/A","9.5","N/A","12","0.23"
"North Western","NM1","1988-05-16","1","Surface Water","2.9","6.3","8.2","27.4","4.9","25.2","2.5","0.23"
"North Western","NM1","1988-05-16","1","Middle Water","1.9","5.6","8.2","28.8","6.8","24.7","2.5","0.23"
"North Western","NM1","1988-05-16","1","Bottom Water","1.1","5.3","8.1","30","27.6","24.5","14","0.17"
"North Western","NM1","1988-07-12","1","Surface Water","2.9","6.6","8.2","23.2","6.4","27.1","4.5","0.4"
"North Western","NM1","1988-07-12","1","Middle Water","3.6","5.8","8.2","24.5","6.5","26.6","4","0.42"
"North Western","NM1","1988-07-12","1","Bottom Water","1.3","4.1","8","32.1","5.1","24","50","0.24"
"North Western","NM1","1988-09-16","1","Surface Water","4.6","4.4","8.1","27.7","7.5","25.3","6.5","0.28"
"North Western","NM1","1988-09-16","1","Middle Water","1.7","3.9","8.1","29.5","21.5","24.5","14","0.24"
"North Western","NM1","1988-09-16","1","Bottom Water","2.5","3.7","8.1","30.2","18.5","24.2","17","0.24"
"North Western","NM1","1988-11-21","1","Surface Water","1.5","5.9","8.3","31.5","12.5","21","10","0.21"
"North Western","NM1","1988-11-21","1","Middle Water","1","5.7","8.2","31.5","13.5","20.9","7","0.24"
"North Western","NM1","1988-11-21","1","Bottom Water","0.6","N/A","N/A","N/A","N/A","N/A","17","0.23"
"North Western","NM1","1989-01-16","1","Surface Water","0.4","7","8.4","32","12","16.5","17","0.17"
"North Western","NM1","1989-01-16","1","Middle Water","0.4","7","8.4","32","15","16.6","17","0.17"
"North Western","NM1","1989-01-16","1","Bottom Water","0.4","7","8.3","32.2","13","16.5","18","0.17"
"North Western","NM1","1989-03-31","1","Surface Water","1.1","6.8","8.3","32.7","5.2","17.3","3","0.19"
"North Western","NM1","1989-03-31","1","Middle Water","1.6","6.5","8.3","32.7","5.3","17.2","2","0.19"
"North Western","NM1","1989-03-31","1","Bottom Water","0.8","6.3","8.3","32.8","5.4","17.2","4","0.2"
"North Western","NM1","1989-05-19","1","Surface Water","4.5","6.7","8.4","29","4.5","24.5","2","0.67"
"North Western","NM1","1989-05-19","1","Middle Water","9.6","5.9","8.4","30.9","5","24.1","2.5","0.23"
"North Western","NM1","1989-05-19","1","Bottom Water","2.5","5.8","8.3","31.4","7.5","24","4.5","0.2"
"North Western","NM1","1989-07-21","1","Surface Water","2.1","5.4","8.6","24.6","7","27.5","4","0.35"
"North Western","NM1","1989-07-21","1","Middle Water","1.3","4.7","8.6","28.6","9.9","26.2","9.5","0.28"
"North Western","NM1","1989-07-21","1","Bottom Water","1.9","4.7","8.6","29.1","7.7","26.1","11","0.25"
"North Western","NM1","1989-09-11","1","Surface Water","7.1","9.9","8.9","27.4","7","29.1","1.5","0.03"
"North Western","NM1","1989-09-11","1","Middle Water","8.9","4.8","8.6","30","4.2","27.8","3.5","0.09"
"North Western","NM1","1989-09-11","1","Bottom Water","5.8","4.1","8.5","30.4","5.5","27.7","2","0.13"
"North Western","NM1","1989-11-17","1","Surface Water","1.3","5.5","8.4","31.6","13.6","22.9","15","0.15"
"North Western","NM1","1989-11-17","1","Middle Water","1.1","5.5","8.4","31.7","12.2","22.9","16","0.14"
"North Western","NM1","1989-11-17","1","Bottom Water","1.2","5.4","8.4","31.7","27","22.9","18","0.14"
"North Western","NM1","1990-01-22","1","Surface Water","0.4","6.2","8.3","30.8","2.5","17","1.5","0.21"
"North Western","NM1","1990-01-22","1","Middle Water","0.4","6.1","8.3","31.2","2.4","17","2","0.2"
"North Western","NM1","1990-01-22","1","Bottom Water","1.3","6","8.3","31.2","3.6","17","5","0.21"
"North Western","NM1","1990-03-19","1","Surface Water","2.7","6.9","8.5","30.2","2.6","18.1","0.5","0.13"
"North Western","NM1","1990-03-19","1","Middle Water","1.6","6.7","8.6","31","2.2","17.7","2","0.14"
"North Western","NM1","1990-03-19","1","Bottom Water","0.7","6.4","8.6","31.1","2.5","17.6","2","0.15"
"North Western","NM1","1990-05-11","1","Surface Water","1.3","6.9","8.1","30.4","7.2","21.8","3.5","0.29"
"North Western","NM1","1990-05-11","1","Middle Water","1.1","5.6","8.1","32.5","2.9","21.2","1","0.19"
"North Western","NM1","1990-05-11","1","Bottom Water","1.1","4.9","8.1","33.4","2.4","21","2.5","0.21"
"North Western","NM1","1990-07-09","1","Surface Water","8.8","10.1","8.8","14.7","6.5","29.8","5.5","0.34"
"North Western","NM1","1990-07-09","1","Middle Water","0.3","5.8","8.4","27.4","5.7","25.8","7.5","0.18"
"North Western","NM1","1990-07-09","1","Bottom Water","0.3","4.1","8.4","30.7","5","24.8","6.5","0.16"
"North Western","NM1","1990-08-13","1","Surface Water","1.6","6.2","8.3","25.8","9.1","28.1","3","0.3"
"North Western","NM1","1990-08-13","1","Middle Water","2.1","5","8.3","29.3","14","26.9","11","0.21"
"North Western","NM1","1990-08-13","1","Bottom Water","1.1","4.4","8.3","31.3","14","26.1","13","0.19"
"North Western","NM1","1990-09-10","1","Surface Water","1.3","5.9","8.3","29.4","7.2","28.8","5","0.33"
"North Western","NM1","1990-09-10","1","Middle Water","1.6","5.7","8.3","30.1","8.7","28.6","7","0.43"
"North Western","NM1","1990-09-10","1","Bottom Water","1","5.8","8.3","30.2","9.5","28.4","5","0.31"
"North Western","NM1","1990-11-09","1","Surface Water","2.1","8.4","8","29.9","11.8","24.7","2.5","0.22"
"North Western","NM1","1990-11-09","1","Middle Water","2.4","7.1","8","30.7","11.5","24.7","3","0.17"
"North Western","NM1","1990-11-09","1","Bottom Water","2.4","7.1","8","31","18.6","24.8","7.5","0.17"
"North Western","NM1","1991-01-11","1","Surface Water","0.8","7.7","7.9","32.2","6.2","17.3","7","0.18"
"North Western","NM1","1991-01-11","1","Middle Water","1.1","7.9","7.9","32.2","5.8","17.3","9","0.19"
"North Western","NM1","1991-01-11","1","Bottom Water","1.3","9.4","7.9","32.3","6.1","17.1","2","0.18"
"North Western","NM1","1991-03-11","1","Surface Water","1.3","N/A","8","N/A","2.2","N/A","1.5","0.27"
"North Western","NM1","1991-03-11","1","Middle Water","1.3","N/A","7.9","N/A","2.3","N/A","1.5","0.19"
"North Western","NM1","1991-03-11","1","Bottom Water","0.8","N/A","7.9","N/A","2.4","N/A","7","0.21"
"North Western","NM1","1991-05-03","1","Surface Water","0.8","6","8.2","31.6","5.5","23.5","6.5","0.22"
"North Western","NM1","1991-05-03","1","Middle Water","0.5","5.6","8.1","32.1","7.5","23.5","5.5","0.28"
"North Western","NM1","1991-05-03","1","Bottom Water","<0.2","5.6","8.1","32.3","5.8","23.4","12","0.24"
"North Western","NM1","1991-07-08","1","Surface Water","0.3","6.5","8.5","9.1","5","27.8","3.5","1.21"
"North Western","NM1","1991-07-08","1","Middle Water","0.3","3.2","8.4","27.6","3.6","23.6","3","0.74"
"North Western","NM1","1991-07-08","1","Bottom Water","<0.2","3.3","8.4","31.6","5","22.2","3","1.11"
"North Western","NM1","1991-09-16","1","Surface Water","0.8","5.4","8.1","28.4","2.9","24.7","4","0.32"
"North Western","NM1","1991-09-16","1","Middle Water","1.1","4.9","8.1","29.5","2.8","24.5","5","0.31"
"North Western","NM1","1991-09-16","1","Bottom Water","1.1","3.8","8.1","30.5","3","24","5","0.32"
"North Western","NM1","1991-11-18","1","Surface Water","<0.2","7","8.1","32.7","2.5","22.4","4","0.25"
"North Western","NM1","1991-11-18","1","Middle Water","0.7","6.7","8.2","32.7","2.6","22.1","4","0.25"
"North Western","NM1","1991-11-18","1","Bottom Water","0.6","6.9","8.2","32.7","2.9","21.9","3.5","0.25"
"North Western","NM1","1992-01-10","1","Surface Water","3.5","11","8.1","34","11","16","12","0.21"
"North Western","NM1","1992-01-10","1","Middle Water","2.9","10.6","8.1","34.4","9.5","16","13","0.21"
"North Western","NM1","1992-01-10","1","Bottom Water","5.6","10","8.1","34.4","11","16","14","0.11"
"North Western","NM1","1992-03-16","1","Surface Water","<0.2","7.6","8.1","25.9","7.3","18.5","7","0.71"
"North Western","NM1","1992-03-16","1","Middle Water","0.3","7.4","8","30","5.7","18","6.5","0.47"
"North Western","NM1","1992-03-16","1","Bottom Water","0.9","6.8","8","30.8","6.8","17.6","9","0.42"
