"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"Southern","SM1","1986-02-01","1","Surface Water","N/A","N/A","N/A","32.7","0.8","16.5","N/A","N/A"
"Southern","SM1","1986-02-01","1","Middle Water","1.2","N/A","8","32.7","1.1","16.7","4","N/A"
"Southern","SM1","1986-02-01","1","Bottom Water","N/A","N/A","N/A","32.7","1.1","16.6","N/A","N/A"
"Southern","SM1","1986-04-23","1","Surface Water","1","4.9","N/A","34.3","1.2","21.7","N/A","N/A"
"Southern","SM1","1986-04-23","1","Middle Water","N/A","4.9","8.1","34.3","1.3","21.7","1.5","N/A"
"Southern","SM1","1986-04-23","1","Bottom Water","N/A","4.9","N/A","34.3","1.4","21.8","N/A","N/A"
"Southern","SM1","1986-06-17","1","Surface Water","15","9","N/A","26.2","1.9","28.8","N/A","N/A"
"Southern","SM1","1986-06-17","1","Middle Water","N/A","9.1","8.2","29.4","2","28.3","3.5","N/A"
"Southern","SM1","1986-06-17","1","Bottom Water","N/A","5.1","N/A","32.9","8.2","26","N/A","N/A"
"Southern","SM1","1986-08-15","1","Surface Water","0.8","5.5","8.1","30.1","1.3","29.6","0.5","0.03"
"Southern","SM1","1986-08-15","1","Middle Water","1.5","5.6","8.1","30.1","0.9","28.8","1","0.02"
"Southern","SM1","1986-08-15","1","Bottom Water","2.1","4.8","8","31.4","39","28","32","0.09"
"Southern","SM1","1986-11-06","1","Surface Water","2.1","6.8","8.4","33.7","5","24.2","4","0.06"
"Southern","SM1","1986-11-06","1","Middle Water","2.3","6.7","8.3","33.8","6.2","24.1","5","0.06"
"Southern","SM1","1986-11-06","1","Bottom Water","2.3","6.6","8.4","33.8","6.4","24","5","0.06"
"Southern","SM1","1986-12-15","1","Surface Water","1.3","6.8","8.3","31.6","1.7","19","1","0.14"
"Southern","SM1","1986-12-15","1","Middle Water","1.9","6.9","8.3","31.6","1.8","19","1","0.14"
"Southern","SM1","1986-12-15","1","Bottom Water","1.3","6.9","8.3","31.6","1.4","19","1","0.16"
"Southern","SM1","1987-02-10","1","Surface Water","0.8","7.6","8.1","32.5","2","17.7","3.5","0.04"
"Southern","SM1","1987-02-10","1","Middle Water","<0.2","7.8","8.1","32.5","2","17.4","2","0.06"
"Southern","SM1","1987-02-10","1","Bottom Water","0.8","7.7","8.2","32.5","1.8","17.2","2.5","0.04"
"Southern","SM1","1987-04-16","1","Surface Water","N/A","6.9","8.2","32.5","2.9","20.6","N/A","0.04"
"Southern","SM1","1987-04-16","1","Middle Water","N/A","6.9","8.3","32.3","2.3","20.4","N/A","0.03"
"Southern","SM1","1987-04-16","1","Bottom Water","N/A","6.8","8.2","32.4","7.6","20.4","N/A","0.04"
"Southern","SM1","1987-06-29","1","Surface Water","2.1","10","8.5","25.7","3","29.2","4","0.04"
"Southern","SM1","1987-06-29","1","Middle Water","5.3","3.9","8.1","31.4","3.1","25.1","2","0.07"
"Southern","SM1","1987-06-29","1","Bottom Water","0.4","3.6","8","33.1","2.3","23.6","4.5","0.05"
"Southern","SM1","1987-08-25","1","Surface Water","5.1","6.1","8.1","31.1","2.2","28.2","7.5","0.04"
"Southern","SM1","1987-08-25","1","Middle Water","4.6","5.5","8","32.2","4.1","27.6","7","0.04"
"Southern","SM1","1987-08-25","1","Bottom Water","1.3","4.6","7.9","33.1","9.4","26.4","16","0.07"
"Southern","SM1","1987-10-15","1","Surface Water","5.1","6.1","8.1","33.1","4.4","27.5","1","0.03"
"Southern","SM1","1987-10-15","1","Middle Water","3.8","5.9","8.1","33.3","4.2","27.4","0.5","0.02"
"Southern","SM1","1987-10-15","1","Bottom Water","3.4","6","8.1","33.4","8.5","27.4","4.5","0.04"
"Southern","SM1","1987-12-21","1","Surface Water","0.8","7.9","8.3","31.7","6","17.2","3.5","0.12"
"Southern","SM1","1987-12-21","1","Middle Water","0.8","8.1","8.4","31.8","5","17.2","4","0.12"
"Southern","SM1","1987-12-21","1","Bottom Water","1","7.9","8.4","31.8","10","17.1","5.5","0.12"
"Southern","SM1","1988-02-02","1","Surface Water","0.6","7.5","8.2","32.5","1.4","17.5","7.5","0.06"
"Southern","SM1","1988-02-02","1","Middle Water","0.6","7.4","8.2","32.6","1.3","17.4","2","0.11"
"Southern","SM1","1988-02-02","1","Bottom Water","2.7","7.4","8.2","32.7","2.1","17.6","14","0.05"
"Southern","SM1","1988-04-25","1","Surface Water","0.5","7.3","8.2","33.9","2.2","21","1","0.03"
"Southern","SM1","1988-04-25","1","Middle Water","0.5","7.4","8.2","33.9","1.7","20.9","3","0.02"
"Southern","SM1","1988-04-25","1","Bottom Water","2.4","7.4","8.2","33.9","3","20.7","0.5","0.01"
"Southern","SM1","1988-06-28","1","Surface Water","3.8","7.3","8.3","28.6","2.7","27.8","2","0.19"
"Southern","SM1","1988-06-28","1","Middle Water","3.1","4.8","8.4","33.4","2.4","25.5","2","0.16"
"Southern","SM1","1988-06-28","1","Bottom Water","8.6","5.1","8.1","34.3","3","23.6","3.5","0.07"
"Southern","SM1","1988-08-23","1","Surface Water","23","10.1","8.8","25.8","4.4","26.2","3.5","0.05"
"Southern","SM1","1988-08-23","1","Middle Water","33","4.4","8.9","32.9","3.6","22.7","3","0.06"
"Southern","SM1","1988-08-23","1","Bottom Water","2.1","3.4","8.2","34.2","3.9","20.9","2","0.11"
"Southern","SM1","1988-12-19","1","Surface Water","0.8","7.3","8.4","N/A","8.8","18.7","5","0.09"
"Southern","SM1","1988-12-19","1","Middle Water","0.6","7.2","8.4","N/A","12.2","18.5","6.5","0.08"
"Southern","SM1","1988-12-19","1","Bottom Water","1","7.2","8.1","N/A","10.1","18.5","6","0.09"
"Southern","SM1","1989-02-28","1","Surface Water","0.6","8.3","8.3","32.2","2.7","15.3","2.5","0.06"
"Southern","SM1","1989-02-28","1","Middle Water","1","8.4","8.3","32.2","3","15","3","0.07"
"Southern","SM1","1989-02-28","1","Bottom Water","1.1","8.2","8.3","32.2","3","15","3","0.06"
"Southern","SM1","1989-04-24","1","Surface Water","1.2","6.8","8.3","33.4","2.7","21.2","1","0.06"
"Southern","SM1","1989-04-24","1","Middle Water","0.7","6.7","8.3","33.4","2.6","20.8","0.5","0.07"
