"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"Tolo Harbour and Channel","TM2","1986-01-08","1","Surface Water","31","9.9","8.5","32.1","5.9","15.9","15","0.1"
"Tolo Harbour and Channel","TM2","1986-01-08","1","Middle Water","33","9.9","8.5","32.2","5.4","15.9","9.5","0.07"
"Tolo Harbour and Channel","TM2","1986-01-08","1","Bottom Water","21","8.4","8.4","32.3","6.3","15.9","40","0.13"
"Tolo Harbour and Channel","TM2","1986-01-22","1","Surface Water","12","8.2","8.6","32.1","2.7","17.4","3","0.22"
"Tolo Harbour and Channel","TM2","1986-01-22","1","Middle Water","10","8.2","8.5","32","2.5","17.5","1.5","0.22"
"Tolo Harbour and Channel","TM2","1986-01-22","1","Bottom Water","7.5","7.6","8.5","32.2","2.8","17.5","4","0.25"
"Tolo Harbour and Channel","TM2","1986-02-05","1","Surface Water","20","6.1","7.9","31.6","5.1","16.3","3.5","0.7"
"Tolo Harbour and Channel","TM2","1986-02-05","1","Middle Water","6.7","5.5","7.9","32.3","4.8","16.8","<0.5","0.37"
"Tolo Harbour and Channel","TM2","1986-02-05","1","Bottom Water","5.3","5.4","7.8","32.5","4.6","16.8","2.5","0.33"
"Tolo Harbour and Channel","TM2","1986-02-19","1","Surface Water","46","7","8.1","29.3","7.6","16.2","8.5","0.48"
"Tolo Harbour and Channel","TM2","1986-02-19","1","Middle Water","41","6.6","8","29.4","7.6","16.2","9","0.5"
"Tolo Harbour and Channel","TM2","1986-02-19","1","Bottom Water","33","5.5","8","29.9","7.5","16.1","8.5","0.45"
"Tolo Harbour and Channel","TM2","1986-03-05","1","Surface Water","2.7","9.2","8.2","31.5","1.3","14.7","2","0.51"
"Tolo Harbour and Channel","TM2","1986-03-05","1","Middle Water","1.5","9.3","8.2","31.9","1.7","14.5","1.5","0.17"
"Tolo Harbour and Channel","TM2","1986-03-05","1","Bottom Water","13","9","8.2","32.1","2.1","14.4","4","0.12"
"Tolo Harbour and Channel","TM2","1986-03-19","1","Surface Water","2.3","6.1","8.3","31.8","2","17.7","2","0.52"
"Tolo Harbour and Channel","TM2","1986-03-19","1","Middle Water","1.1","5.8","8.3","31.7","1.8","17.5","5.5","0.58"
"Tolo Harbour and Channel","TM2","1986-03-19","1","Bottom Water","1.7","5.4","8.3","32","1.9","17.1","5","0.45"
"Tolo Harbour and Channel","TM2","1986-04-02","1","Surface Water","8","6.6","8","31.3","6.4","17.1","5","0.54"
"Tolo Harbour and Channel","TM2","1986-04-02","1","Middle Water","8.8","6.6","8","31.5","3.2","17.1","4.5","0.53"
"Tolo Harbour and Channel","TM2","1986-04-02","1","Bottom Water","7.8","6.6","8","31.5","7.8","17","4","0.52"
"Tolo Harbour and Channel","TM2","1986-04-16","1","Surface Water","24","7","8.4","30.1","7.6","19.7","4.5","0.38"
"Tolo Harbour and Channel","TM2","1986-04-16","1","Middle Water","11","6.4","8.2","30.9","3.4","19.6","5.5","0.16"
"Tolo Harbour and Channel","TM2","1986-04-16","1","Bottom Water","12","5.2","8.2","30.7","2.8","19","8","0.17"
"Tolo Harbour and Channel","TM2","1986-04-30","1","Surface Water","79","13.3","8.1","30.2","11","23.6","34","0.03"
"Tolo Harbour and Channel","TM2","1986-04-30","1","Middle Water","36","10.5","8.5","30.4","8","23.2","9","0.01"
"Tolo Harbour and Channel","TM2","1986-04-30","1","Bottom Water","22","7.6","8.5","30.5","5.4","22.5","6.5","0.01"
"Tolo Harbour and Channel","TM2","1986-05-14","1","Surface Water","17","3.2","8.3","27.2","5.5","26.5","4.5","0.27"
"Tolo Harbour and Channel","TM2","1986-05-14","1","Middle Water","15","1.8","8","29.4","4.4","23.7","3.5","0.32"
"Tolo Harbour and Channel","TM2","1986-05-14","1","Bottom Water","0.8","1.5","7.8","31.5","2.8","23.3","3","0.25"
"Tolo Harbour and Channel","TM2","1986-05-28","1","Surface Water","42","8.4","8.6","29.5","5.6","27.2","16","0.39"
"Tolo Harbour and Channel","TM2","1986-05-28","1","Middle Water","24","5.5","8.5","29.9","4.3","25.9","5","0.28"
"Tolo Harbour and Channel","TM2","1986-05-28","1","Bottom Water","15","2.8","8.2","30.5","4.6","25.2","5","0.19"
"Tolo Harbour and Channel","TM2","1986-06-10","1","Surface Water","3","6.5","8.8","25.4","4.7","26","3","0.26"
