"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"Victoria Harbour","VM1","1988-01-14","1","Surface Water","5.9","5.9","8.3","31.8","2.3","18.2","1.5","0.26"
"Victoria Harbour","VM1","1988-01-14","1","Middle Water","5.1","6.2","8.4","32","2.3","18.1","2","0.11"
"Victoria Harbour","VM1","1988-01-14","1","Bottom Water","7.4","N/A","8.4","32.2","2","17.8","2.5","0.08"
"Victoria Harbour","VM1","1988-01-27","1","Surface Water","2.3","N/A","8","32.3","2.5","17.8","16","0.26"
"Victoria Harbour","VM1","1988-01-27","1","Middle Water","1.3","N/A","8","32.5","3.6","17.5","36","0.24"
"Victoria Harbour","VM1","1988-01-27","1","Bottom Water","1.1","N/A","8","32.5","3.8","17.5","11","0.14"
"Victoria Harbour","VM1","1988-02-10","1","Surface Water","1.3","6.3","8.2","32.8","4.8","17.3","2","0.27"
"Victoria Harbour","VM1","1988-02-10","1","Middle Water","1.3","6.2","8.2","32.9","3.6","17.3","9.5","0.23"
"Victoria Harbour","VM1","1988-02-10","1","Bottom Water","1.1","6.5","8.2","32.8","5.4","17.3","10","0.27"
"Victoria Harbour","VM1","1988-02-24","1","Surface Water","1.9","5.7","7.9","32.6","3.2","16.5","5","0.32"
"Victoria Harbour","VM1","1988-02-24","1","Middle Water","1.1","5.5","8","32.4","3.2","16.3","5.5","0.34"
"Victoria Harbour","VM1","1988-02-24","1","Bottom Water","1.1","5.4","8","32.4","3","16.3","5.5","0.34"
"Victoria Harbour","VM1","1988-03-09","1","Surface Water","1","4.9","7.9","31.6","2.2","15","10","0.38"
"Victoria Harbour","VM1","1988-03-09","1","Middle Water","1.1","5","7.9","31.7","2","14.9","15","0.35"
"Victoria Harbour","VM1","1988-03-09","1","Bottom Water","2.1","5.2","7.9","31.8","2.6","14.8","17","0.32"
"Victoria Harbour","VM1","1988-03-23","1","Surface Water","<0.2","5.1","8.1","31.8","4.2","16.2","30","0.3"
"Victoria Harbour","VM1","1988-03-23","1","Middle Water","0.2","5.1","8.1","31.7","4","16.2","7","0.27"
"Victoria Harbour","VM1","1988-03-23","1","Bottom Water","0.8","5.3","8","31.7","6","16.1","20","0.25"
"Victoria Harbour","VM1","1988-04-06","1","Surface Water","1","5.3","8","32.2","4.9","17.2","2","0.3"
"Victoria Harbour","VM1","1988-04-06","1","Middle Water","0.6","5.5","8","32.4","8.2","17","5.5","0.29"
"Victoria Harbour","VM1","1988-04-06","1","Bottom Water","0.4","5.4","8","32.4","4.5","17","3","0.3"
"Victoria Harbour","VM1","1988-04-21","1","Surface Water","0.8","4","7.9","32.3","6.5","19.8","2.5","0.42"
"Victoria Harbour","VM1","1988-04-21","1","Middle Water","1.1","3.9","7.9","32.6","7.1","19.7","1","0.37"
"Victoria Harbour","VM1","1988-04-21","1","Bottom Water","0.5","4.5","7.9","32.8","13","19.8","3","0.35"
"Victoria Harbour","VM1","1988-05-04","1","Surface Water","1.1","3.3","7.9","32.3","5.8","23.1","5","0.28"
"Victoria Harbour","VM1","1988-05-04","1","Middle Water","0.8","3.1","7.9","32.5","7.4","23","7","0.31"
"Victoria Harbour","VM1","1988-05-04","1","Bottom Water","0.8","3.3","7.9","32.7","7.4","22.9","9.5","0.3"
"Victoria Harbour","VM1","1988-05-18","1","Surface Water","18","2.8","7.9","32.4","6.8","24.7","2","0.39"
"Victoria Harbour","VM1","1988-05-18","1","Middle Water","14","2.6","7.9","32.6","7.4","24.6","5","0.39"
"Victoria Harbour","VM1","1988-05-18","1","Bottom Water","16","2.8","7.9","32.8","8.3","24.5","7.5","0.37"
"Victoria Harbour","VM1","1988-06-01","1","Surface Water","2.7","3.4","7.9","32.7","9.2","26","3.5","0.33"
"Victoria Harbour","VM1","1988-06-01","1","Middle Water","1.1","3.3","7.9","32.7","10.8","25.9","5","0.3"
"Victoria Harbour","VM1","1988-06-01","1","Bottom Water","1.1","3.3","7.9","32.9","12.4","25.8","5","0.32"
"Victoria Harbour","VM1","1988-06-15","1","Surface Water","10","5.5","8.2","28.5","8.8","28.5","5","0.13"
"Victoria Harbour","VM1","1988-06-15","1","Middle Water","9.2","4.1","8.1","29.9","12","28.1","7.5","0.18"
"Victoria Harbour","VM1","1988-06-15","1","Bottom Water","8.8","N/A","8.1","N/A","14.5","N/A","10","0.17"
"Victoria Harbour","VM1","1988-06-29","1","Surface Water","3.6","4.4","8","30","4.5","26.2","4","0.33"
"Victoria Harbour","VM1","1988-06-29","1","Middle Water","2.3","3.7","8","31","5.5","25.5","14","0.35"
"Victoria Harbour","VM1","1988-06-29","1","Bottom Water","1.5","4.2","8","33.5","7","23.6","6.5","0.3"
"Victoria Harbour","VM1","1988-07-13","1","Surface Water","16","5.8","8.1","30.5","6","25.7","9","0.11"
"Victoria Harbour","VM1","1988-07-13","1","Middle Water","8.2","4","8.1","31.5","5.3","24.9","9.5","0.19"
"Victoria Harbour","VM1","1988-07-13","1","Bottom Water","7.6","3","8","32.4","7.6","24.1","9","0.18"
"Victoria Harbour","VM1","1988-07-27","1","Surface Water","31","7.1","8.5","26.9","5","27","5","0.06"
"Victoria Harbour","VM1","1988-07-27","1","Middle Water","0.6","4.2","8.3","33.8","10.1","22.2","6.5","0.04"
"Victoria Harbour","VM1","1988-07-27","1","Bottom Water","4.4","N/A","8.1","N/A","4","N/A","5.5","0.07"
"Victoria Harbour","VM1","1988-08-10","1","Surface Water","27","4.4","8.2","30.9","4.9","26.2","4.5","0.23"
"Victoria Harbour","VM1","1988-08-10","1","Middle Water","12","2.7","8.1","32.1","3.7","24.8","4.5","0.36"
"Victoria Harbour","VM1","1988-08-10","1","Bottom Water","6.5","3.1","8.1","33.9","5.1","22.8","6.5","0.31"
"Victoria Harbour","VM1","1988-08-24","1","Surface Water","23","8.9","8.7","27.3","9","25.2","7.5","0.12"
"Victoria Harbour","VM1","1988-08-24","1","Middle Water","2.9","3.3","8.2","33.8","8.5","21.3","4.5","0.18"
