"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"Western Buffer","WM1","1988-01-21","1","Surface Water","3.2","7.1","8.3","32.4","4","18","7","0.09"
"Western Buffer","WM1","1988-01-21","1","Middle Water","2.9","7.3","8.3","32.4","2.8","17.9","14","0.09"
"Western Buffer","WM1","1988-01-21","1","Bottom Water","3.6","7.2","8.2","32.5","9","17.8","19","0.08"
"Western Buffer","WM1","1988-02-22","1","Surface Water","2.7","7.4","8.1","32.7","5.5","16","4","0.07"
"Western Buffer","WM1","1988-02-22","1","Middle Water","1","7.3","8.1","32.8","5","15.9","36","0.07"
"Western Buffer","WM1","1988-02-22","1","Bottom Water","1.5","7.2","8.1","32.7","6","15.9","11","0.08"
"Western Buffer","WM1","1988-03-21","1","Surface Water","1.9","7.2","8","31.9","3.4","16.3","13","0.15"
"Western Buffer","WM1","1988-03-21","1","Middle Water","3.8","6.9","8","31.9","3.2","16.1","4.5","0.14"
"Western Buffer","WM1","1988-03-21","1","Bottom Water","2.1","7.3","8.1","32","18","16","9.5","0.11"
"Western Buffer","WM1","1988-04-22","1","Surface Water","1.1","7","8.3","32.1","3.6","19.9","1","0.23"
"Western Buffer","WM1","1988-04-22","1","Middle Water","0.4","6.7","8.3","33.5","N/A","19.9","1","0.1"
"Western Buffer","WM1","1988-04-22","1","Bottom Water","0.6","N/A","8.3","N/A","4.2","N/A","0.5","0.09"
"Western Buffer","WM1","1988-05-23","1","Surface Water","2.5","5.7","8.2","28.8","3","25.9","1.5","0.24"
"Western Buffer","WM1","1988-05-23","1","Middle Water","0.6","5.1","8.2","33.6","5.9","24.9","4","0.02"
"Western Buffer","WM1","1988-05-23","1","Bottom Water","0.6","5.1","8.2","33.8","7.2","24.7","3","0.02"
"Western Buffer","WM1","1988-06-23","1","Surface Water","5.9","6","8.4","24","4","28.7","1.5","0.26"
"Western Buffer","WM1","1988-06-23","1","Middle Water","2.5","4.2","8.2","34.1","5.2","25.2","3.5","0.1"
"Western Buffer","WM1","1988-06-23","1","Bottom Water","1.3","N/A","8.2","N/A","6.9","N/A","3","0.03"
"Western Buffer","WM1","1988-07-12","1","Surface Water","11","8","8.1","25.5","3.9","27.3","4","0.15"
"Western Buffer","WM1","1988-07-12","1","Middle Water","15","4.6","8.2","34.2","4.9","22.9","3.5","0.12"
"Western Buffer","WM1","1988-07-12","1","Bottom Water","0.4","N/A","8","N/A","7","N/A","5.5","0.09"
"Western Buffer","WM1","1988-08-18","1","Surface Water","1.1","5.5","8.3","26.1","4.1","24.7","3","0.28"
"Western Buffer","WM1","1988-08-18","1","Middle Water","1.8","4.4","8.3","34.2","4.2","22.1","1.5","0.26"
"Western Buffer","WM1","1988-08-18","1","Bottom Water","0.6","N/A","N/A","N/A","N/A","N/A","2.5","0.23"
"Western Buffer","WM1","1988-09-16","1","Surface Water","5.7","6.6","8.3","28.6","3.5","26.2","7","0.12"
"Western Buffer","WM1","1988-09-16","1","Middle Water","1.3","3.6","8.2","32.8","6.5","23.5","4.5","0.12"
"Western Buffer","WM1","1988-09-16","1","Bottom Water","1.3","2.9","8.1","34.1","7.5","22.3","12","0.12"
"Western Buffer","WM1","1988-10-21","1","Surface Water","0.6","4.2","8.3","32.3","6.7","25.4","3.5","0.34"
"Western Buffer","WM1","1988-10-21","1","Middle Water","1","5","8.3","32.4","5.5","25.1","2.5","0.29"
"Western Buffer","WM1","1988-10-21","1","Bottom Water","0.2","N/A","8.3","N/A","6.1","N/A","2.5","0.26"
"Western Buffer","WM1","1988-11-21","1","Surface Water","0.8","6.4","8.3","31.4","8.5","21.3","5","0.14"
"Western Buffer","WM1","1988-11-21","1","Middle Water","0.6","6.3","8.3","31.5","13","21","12","0.16"
"Western Buffer","WM1","1988-11-21","1","Bottom Water","0.8","6.4","8.3","31.5","16.5","21","10","0.16"
"Western Buffer","WM1","1988-12-16","1","Surface Water","0.8","6.8","8.3","N/A","6","19","6.5","0.13"
"Western Buffer","WM1","1988-12-16","1","Middle Water","0.8","6.7","8.3","N/A","8.5","18.8","5.5","0.11"
"Western Buffer","WM1","1988-12-16","1","Bottom Water","0.6","6.8","8.3","N/A","8","18.8","7","0.14"
"Western Buffer","WM1","1989-01-16","1","Surface Water","0.2","8","8.5","32","3.2","16.6","2","0.09"
"Western Buffer","WM1","1989-01-16","1","Middle Water","0.2","7.9","8.5","32","3","16.5","1.5","0.09"
"Western Buffer","WM1","1989-01-16","1","Bottom Water","0.2","7.8","8.5","32.1","2.5","16.6","2","0.09"
"Western Buffer","WM1","1989-02-21","1","Surface Water","1","7.2","8.2","31.9","9.5","16.9","4","0.18"
"Western Buffer","WM1","1989-02-21","1","Middle Water","1","7.4","8.2","31.9","5.5","16.5","2","0.17"
"Western Buffer","WM1","1989-02-21","1","Bottom Water","1","7.6","8.2","32.2","8","16.5","3","0.16"
"Western Buffer","WM1","1989-03-31","1","Surface Water","4.3","7.6","8.3","33.1","4.4","17.3","2.5","0.11"
"Western Buffer","WM1","1989-03-31","1","Middle Water","4.5","7.8","8.3","33.3","4.5","16.7","4","0.11"
"Western Buffer","WM1","1989-03-31","1","Bottom Water","0.3","7.7","8.3","33.2","4.4","16.6","3","0.11"
"Western Buffer","WM1","1989-04-21","1","Surface Water","1","6.8","8.2","31","6.6","22.1","1","0.18"
"Western Buffer","WM1","1989-04-21","1","Middle Water","0.8","6.9","8.3","32.8","6.8","22.1","2","0.14"
"Western Buffer","WM1","1989-04-21","1","Bottom Water","0.7","7.1","8.3","33.1","6.5","20.6","1","0.07"
"Western Buffer","WM1","1989-05-19","1","Surface Water","4.1","4.9","8.2","32.1","6","24.1","4","0.29"
"Western Buffer","WM1","1989-05-19","1","Middle Water","2.7","6.1","8.3","32.7","6","23.9","3.5","0.24"
"Western Buffer","WM1","1989-05-19","1","Bottom Water","1.7","6","8.3","33.3","5","23.6","1.5","0.08"
"Western Buffer","WM1","1989-06-16","1","Surface Water","16","7.9","8.9","19","3.6","26.2","3.5","0.16"
"Western Buffer","WM1","1989-06-16","1","Middle Water","10","5.8","8.5","28.6","4.2","24.7","1.5","0.07"
